final_episode_id,id,route_label,start_time,end_time,rows,latitude_start,longitude_start,latitude_end,longitude_end,primary_serving_cell_key,primary_serving_eci,primary_serving_pci,primary_earfcn,primary_band,min_actual_tp,median_actual_tp,max_expected_tp,max_expected_gap,min_actual_expected_ratio,max_row_priority,mean_row_priority,max_row_impact,mean_row_impact,max_row_confidence,mean_row_confidence,consensus_rows,statistical_only_rows,ml_only_rows,high_quality_direct_evidence_rows,dominant_statistical_type,dominant_ml_type,dominant_impact_family,fusion_source_mode,duration_seconds,span_seconds_inclusive,observed_anomalous_seconds,episode_density_0_1,internal_gap_seconds,longest_consecutive_run_seconds,distance_affected_m,agreement_pct,direct_evidence_coverage_0_1,strong_direct_evidence_rows,radio_limited_degradation_flag_rows,coverage_planning_review_flag,episode_persistence_score_0_100,episode_impact_score_0_100,episode_detection_confidence_0_100,episode_final_priority_0_100,episode_impact_severity,episode_detection_confidence,episode_confidence_gate_pass,episode_critical_override_flag,episode_critical_override_reason,final_episode_handoff_flag,episode_keep_path,episode_priority_severity,operational_incident_id,incident_bridge_decision
LTE-TP-EP-001667,542020041221088+20250828131954+Fiji-Nadi-LTE-DL-D!20250828131344,Fiji-Nadi-LTE-DL-D,2025-08-28 03:12:46+02:00,2025-08-28 03:12:48+02:00,3,-17.63079455,177.4757767,-17.63066287,177.47561871,ECI:1080627.0,1080627.0,352.0,41186.0,41.0,0.47037598,2.965728,41.037212749999995,38.071484749999996,0.03659635557333283,80.4,68.98333333333333,71.11,62.91,91.76,76.40666666666667,0,3,0,3,ca_underperformance,normal,capability,statistical_only_retained,2.0,3.0,3.0,1.0,0.0,3.0,22.379129495654766,0.0,1.0,3,0,False,36.75,60.47,74.98,67.0,High,High,True,False,,True,priority_and_confidence_gate,High,INC-001131,"new:gap=12.0s,dist=79.9623327532007m,cell=True,family=False"
LTE-TP-EP-001668,542020041221088+20250828131954+Fiji-Nadi-LTE-DL-D!20250828131344,Fiji-Nadi-LTE-DL-D,2025-08-28 03:12:57+02:00,2025-08-28 03:12:59+02:00,3,-17.62993076,177.47486504,-17.6297216,177.4746468,ECI:1080630.0,1080630.0,352.0,41384.0,41.0,1.567752,2.751872,20.470735055094593,18.902983055094595,0.07658503692127218,67.62,64.13666666666667,65.36,60.123333333333335,78.79,69.04333333333334,0,3,0,3,rolling_local_drop,normal,temporal,statistical_only_retained,2.0,3.0,3.0,1.0,0.0,3.0,32.92398314353986,0.0,1.0,3,0,False,36.75,56.9,66.66,61.29,High,High,True,False,,True,priority_and_confidence_gate,Medium,INC-001132,"new:gap=9.0s,dist=114.04397051923098m,cell=False,family=False"
LTE-TP-EP-001669,542020041221088+20250828131954+Fiji-Nadi-LTE-DL-D!20250828131344,Fiji-Nadi-LTE-DL-D,2025-08-28 03:13:07+02:00,2025-08-28 03:13:07+02:00,1,-17.6291936,177.4740016,-17.6291936,177.4740016,ECI:1080630.0,1080630.0,352.0,41384.0,41.0,13.259248,13.259248,105.95971,92.700462,0.1251348083153493,79.35,79.35,76.13,76.13,83.29,83.29,0,1,0,1,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,statistical_only_retained,0.0,1.0,1.0,1.0,0.0,1.0,23.571401143059756,0.0,1.0,1,0,False,22.25,62.66,72.47,67.07,High,High,True,False,,True,priority_and_confidence_gate,High,INC-001133,"new:gap=8.0s,dist=90.12180091984656m,cell=True,family=False"
LTE-TP-EP-001670,542020041221088+20250828131954+Fiji-Nadi-LTE-DL-D!20250828131344,Fiji-Nadi-LTE-DL-D,2025-08-28 03:13:18+02:00,2025-08-28 03:13:18+02:00,1,-17.62875489,177.47296907,-17.62875489,177.47296907,ECI:1080630.0,1080630.0,352.0,41384.0,41.0,13.65868,13.65868,41.41542432723139,27.75674432723139,0.32979693488300615,66.9,66.9,46.87,46.87,91.39,91.39,1,0,0,1,ca_underperformance,ml_quantile_p75_resource_underperformance,temporal,statistical_and_ml_consensus,0.0,1.0,1.0,1.0,0.0,1.0,12.228576229322359,100.0,1.0,1,0,False,22.25,40.71,93.54,64.49,Medium,Very High,True,False,,True,priority_and_confidence_gate,Medium,INC-001134,"new:gap=11.0s,dist=119.80211267811409m,cell=True,family=True"
LTE-TP-EP-001671,542020041221088+20250828131954+Fiji-Nadi-LTE-DL-D!20250828131344,Fiji-Nadi-LTE-DL-D,2025-08-28 03:13:30+02:00,2025-08-28 03:13:31+02:00,2,-17.6282935,177.4718257,-17.62829378,177.4718262,ECI:3638848.0,3638848.0,254.0,41384.0,41.0,0.004208,2.621708,98.07729499999999,92.83808699999999,0.00011136590088230668,94.68,88.42,90.33,86.715,100.0,90.5,1,1,0,2,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,statistical_and_ml_consensus,1.0,2.0,2.0,1.0,0.0,2.0,5.763787596741695,50.0,1.0,2,0,False,29.5,74.22,90.12,81.38,High,Very High,True,False,,True,priority_and_confidence_gate,High,INC-001135,"new:gap=12.0s,dist=131.580831491666m,cell=False,family=True"
LTE-TP-EP-001672,542020041221088+20250828131954+Fiji-Nadi-LTE-DL-D!20250828131344,Fiji-Nadi-LTE-DL-D,2025-08-28 03:13:40+02:00,2025-08-28 03:13:40+02:00,1,-17.6279545,177.4710118,-17.6279545,177.4710118,ECI:3638848.0,3638848.0,254.0,41384.0,41.0,0.933784,0.933784,56.330395025788036,55.39661102578803,0.016576911977494814,91.52,91.52,88.45,88.45,95.28,95.28,0,1,0,1,sudden_drop,normal,temporal,statistical_only_retained,0.0,1.0,1.0,1.0,0.0,1.0,20.88208064996814,0.0,1.0,1,0,False,22.25,71.9,81.46,76.2,High,Very High,True,False,,True,priority_and_confidence_gate,High,INC-001136,"new:gap=9.0s,dist=94.19026717069015m,cell=True,family=False"
LTE-TP-EP-001674,542020041221088+20250828132455+Fiji-Nadi-LTE-DL-D!20250828131658,Fiji-Nadi-LTE-DL-D,2025-08-28 03:15:05+02:00,2025-08-28 03:15:05+02:00,1,-17.626559,177.4653506,-17.626559,177.4653506,ECI:3638848.0,3638848.0,254.0,41384.0,41.0,0.035312,0.035312,,,,84.25,84.25,90.88,90.88,76.15,76.15,0,1,0,0,radio_limited_degradation,normal,radio,statistical_only_retained,0.0,1.0,1.0,1.0,0.0,1.0,12.785497973636739,0.0,0.0,0,1,True,22.25,73.72,57.11,66.25,High,Medium,True,False,,True,priority_and_confidence_gate,High,INC-001137,new_session_or_first_episode
LTE-TP-EP-001675,542020041221088+20250828132455+Fiji-Nadi-LTE-DL-D!20250828131658,Fiji-Nadi-LTE-DL-D,2025-08-28 03:15:12+02:00,2025-08-28 03:15:12+02:00,1,-17.6263931,177.4652617,-17.6263931,177.4652617,ECI:3638848.0,3638848.0,254.0,41384.0,41.0,12.9854555,12.9854555,121.14346,108.1580045,0.1071907265980351,87.64,87.64,77.52,77.52,100.0,100.0,1,0,0,1,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,statistical_and_ml_consensus,0.0,1.0,1.0,1.0,0.0,1.0,5.892109504916266,100.0,1.0,1,0,False,22.25,63.7,100.0,80.04,High,Very High,True,False,,True,priority_and_confidence_gate,High,INC-001138,"new:gap=7.0s,dist=20.71374902683053m,cell=True,family=False"
LTE-TP-EP-001676,542020041221088+20250828132455+Fiji-Nadi-LTE-DL-D!20250828131658,Fiji-Nadi-LTE-DL-D,2025-08-28 03:15:28+02:00,2025-08-28 03:15:28+02:00,1,-17.62548312,177.46539331,-17.62548312,177.46539331,ECI:3638848.0,3638848.0,254.0,41384.0,41.0,9.687648,9.687648,94.1412673136677,84.4536193136677,0.10290543431630136,88.26,88.26,85.51,85.51,91.62,91.62,0,1,0,1,sudden_drop,normal,temporal,statistical_only_retained,0.0,1.0,1.0,1.0,0.0,1.0,6.654983743438071,0.0,1.0,1,0,False,22.25,69.7,78.72,73.75,High,High,True,False,,True,priority_and_confidence_gate,High,INC-001139,"new:gap=16.0s,dist=102.14202583839162m,cell=True,family=False"
LTE-TP-EP-001677,542020041221088+20250828132455+Fiji-Nadi-LTE-DL-D!20250828131658,Fiji-Nadi-LTE-DL-D,2025-08-28 03:15:34+02:00,2025-08-28 03:15:35+02:00,2,-17.6253214,177.4648207,-17.62532195,177.46482076,ECI:3638848.0,3638848.0,254.0,41384.0,41.0,8.05704,11.942356,78.06750410810267,70.01046410810267,0.10320606623779274,87.72,75.17,83.13,71.065,93.33,80.185,0,2,0,2,radio_limited_degradation,normal,temporal,statistical_only_retained,1.0,2.0,2.0,1.0,0.0,2.0,9.25716118752646,0.0,1.0,2,1,True,29.5,66.71,76.71,71.21,High,High,True,False,,True,priority_and_confidence_gate,High,INC-001140,"new:gap=6.0s,dist=63.29083463971039m,cell=True,family=True"
