final_episode_id,id,route_label,start_time,end_time,rows,latitude_start,longitude_start,latitude_end,longitude_end,primary_serving_cell_key,primary_serving_eci,primary_serving_pci,primary_earfcn,primary_band,min_actual_tp,median_actual_tp,max_expected_tp,max_expected_gap,min_actual_expected_ratio,max_row_priority,mean_row_priority,max_row_impact,mean_row_impact,max_row_confidence,mean_row_confidence,consensus_rows,statistical_only_rows,ml_only_rows,dominant_statistical_type,dominant_ml_type,dominant_impact_family,fusion_source_mode,duration_seconds,span_seconds_inclusive,observed_anomalous_seconds,episode_density_0_1,longest_consecutive_run_seconds,distance_affected_m,agreement_pct,underperform_vs_p75_flag_rows,underperform_vs_rb_p75_flag_rows,low_rb_efficiency_high_rb_flag_rows,ca_underperformance_flag_rows,radio_limited_degradation_flag_rows,rolling_drop_flag_rows,sudden_drop_flag_rows,rolling_sustained_degradation_flag_rows,ml_q75_resource_underperformance_flag_rows,ml_hgb_resource_underperformance_flag_rows,ml_hgb_temporal_underperformance_flag_rows,near_handover_execution_flag_rows,near_handover_failure_flag_rows,near_rach_failure_flag_rows,near_ca_activation_change_flag_rows,strong_direct_evidence_rows,direct_evidence_coverage_0_1,coverage_planning_review_flag,episode_persistence_score_0_100,episode_impact_score_0_100,episode_detection_confidence_0_100,episode_final_priority_0_100,episode_impact_severity,episode_detection_confidence,final_episode_handoff_flag,episode_priority_severity
LTE-TP-EP-000927,542020041221088+20250827151552+Fiji-Nadi-LTE-DL-D!20250827151524,Fiji-Nadi-LTE-DL-D,2025-08-27 05:14:38+02:00,2025-08-27 05:14:38+02:00,1,-17.7477968,177.4522131,-17.7477968,177.4522131,ECI:1066294.0,1066294.0,50.0,41384.0,41.0,9.189872,9.189872,121.14346,111.95358800000001,0.0758594149448926,91.25,91.25,84.09,84.09,100.0,100.0,1,0,0,rb_efficiency_underperformance,ml_quantile_p75_resource_underperformance,capability,statistical_and_ml_consensus,0.0,1.0,1.0,1.0,1.0,12.182548406833751,100.0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,9,1.0,True,17.0,67.32,100.0,82.02,High,Very High,True,High
LTE-TP-EP-000341,542020041221088+20250827122555+Fiji-Nadi-LTE-DL-D!20250827113546,Fiji-Nadi-LTE-DL-D,2025-08-27 01:34:11+02:00,2025-08-27 01:34:12+02:00,2,-17.76634916,177.42989571,-17.76641346,177.42985314,ECI:1072446.0,1072446.0,394.0,40790.0,41.0,4.236208,10.2163765,118.44779,114.21158199999999,0.03576434815710788,95.94,91.255,92.62,84.1,100.0,100.0,1,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,statistical_and_ml_consensus,1.0,2.0,2.0,1.0,2.0,8.718738284224072,50.0,2,2,1,1,0,2,2,0,2,2,1,0,0,0,2,15,1.0,False,24.0,73.33,92.5,81.96,High,Very High,True,High
LTE-TP-EP-000636,542020041221088+20250827134247+Fiji-Nadi-LTE-DL-D!20250827130749,Fiji-Nadi-LTE-DL-D,2025-08-27 03:06:16+02:00,2025-08-27 03:06:17+02:00,2,-17.78074862,177.43065911,-17.7807437,177.43059402,ECI:1072702.0,1072702.0,394.0,40790.0,41.0,2.11232,3.23268,119.0290425,114.67600250000001,0.03404278214515574,95.84,90.42,92.43,90.35,100.0,90.5,1,1,0,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,capability,statistical_and_ml_consensus,1.0,2.0,2.0,1.0,2.0,6.965568290301859,50.0,1,1,1,1,0,2,1,0,1,1,1,0,0,0,2,10,1.0,False,24.0,74.8,90.12,81.7,High,Very High,True,High
LTE-TP-EP-002132,542020041221088+20250828153922+Fiji-Nadi-LTE-DL-D!20250828152928,Fiji-Nadi-LTE-DL-D,2025-08-28 05:28:25+02:00,2025-08-28 05:28:25+02:00,1,-17.6783773,177.408984,-17.6783773,177.408984,ECI:1081375.0,1081375.0,454.0,1850.0,3.0,6.737936,6.737936,79.6243025,72.8863665,0.0846216015518629,90.69,90.69,83.08,83.08,100.0,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,statistical_and_ml_consensus,0.0,1.0,1.0,1.0,1.0,6.254486185747984,100.0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,9,1.0,False,17.0,66.56,100.0,81.61,High,Very High,True,High
LTE-TP-EP-001557,542020041221088+20250828124043+Fiji-Nadi-LTE-DL-D!20250828124009,Fiji-Nadi-LTE-DL-D,2025-08-28 02:38:34+02:00,2025-08-28 02:38:36+02:00,3,-17.6308957,177.4441288,-17.6307991,177.4440908,ECI:3642943.0,3642943.0,313.0,41384.0,41.0,0.008616,0.023072,121.14346,118.868004,0.000270305415943596,97.83,86.5,96.06,85.82333333333334,100.0,87.33333333333333,1,2,0,rolling_local_drop,normal,temporal,statistical_only_retained,2.0,3.0,3.0,1.0,3.0,15.120627576792113,33.33333333333333,1,1,1,1,0,3,1,0,1,0,1,0,0,0,3,10,1.0,False,31.0,77.24,86.83,81.55,High,Very High,True,High
LTE-TP-EP-000623,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,Fiji-Nadi-LTE-DL-D,2025-08-27 03:04:22+02:00,2025-08-27 03:04:24+02:00,3,-17.7808043,177.4321824,-17.78080948,177.43222762,ECI:1065535.0,1065535.0,394.0,40988.0,41.0,0.004448,0.006352,104.02913616106697,74.09292716106697,6.416661762108087e-05,89.9,86.44,95.72,85.21,100.0,87.93333333333334,1,2,0,radio_limited_degradation,normal,temporal,statistical_only_retained,2.0,3.0,3.0,1.0,3.0,11.413192712090598,33.33333333333333,1,1,0,0,1,3,2,0,1,0,1,0,0,0,3,10,1.0,True,31.0,76.91,86.98,81.44,High,Very High,True,High
LTE-TP-EP-001638,542020041221088+20250828125404+Fiji-Nadi-LTE-DL-D!20250828125334,Fiji-Nadi-LTE-DL-D,2025-08-28 02:52:47+02:00,2025-08-28 02:52:52+02:00,6,-17.63208727,177.45430274,-17.63163607,177.45435476,ECI:1077825.0,1077825.0,167.0,40988.0,41.0,0.548752,4.112876,64.715159,59.624687,0.07865965376056637,88.37,76.19833333333334,98.08,80.39999999999999,100.0,71.06666666666666,1,5,0,radio_limited_degradation,normal,radio,statistical_only_retained,5.0,6.0,6.0,1.0,6.0,60.295957885484235,16.666666666666664,2,2,2,2,4,0,0,6,2,1,1,6,0,0,6,22,1.0,True,52.0,82.14,80.27,81.3,Critical,Very High,True,High
LTE-TP-EP-001114,542020041221088+20250828102746+Fiji-Nadi-LTE-DL-D!20250828102524,Fiji-Nadi-LTE-DL-D,2025-08-28 00:23:38+02:00,2025-08-28 00:23:42+02:00,5,-17.737185,177.459908,-17.7371849,177.459908,ECI:1071136.0,1071136.0,338.0,1850.0,3.0,0.010752,3.649896,96.10842114583129,78.37158114583129,0.0003270894154848202,95.92,82.442,94.23,76.066,100.0,90.23400000000001,1,4,0,ca_underperformance,normal,temporal,statistical_only_retained,4.0,5.0,5.0,1.0,5.0,0.02171043858867104,20.0,2,2,1,1,1,5,2,0,2,1,1,0,0,0,5,18,1.0,True,45.0,77.38,85.56,81.06,High,Very High,True,High
LTE-TP-EP-000629,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,Fiji-Nadi-LTE-DL-D,2025-08-27 03:05:08+02:00,2025-08-27 03:05:08+02:00,1,-17.78094586,177.43368277,-17.78094586,177.43368277,ECI:1072704.0,1072704.0,395.0,40988.0,41.0,1.223552,1.223552,85.9294657539735,84.7059137539735,0.014239027198227647,98.96,98.96,98.11,98.11,100.0,100.0,0,1,0,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,temporal,statistical_only_retained,0.0,1.0,1.0,1.0,1.0,3.4982241871382422,0.0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,7,1.0,False,17.0,77.83,85.0,81.06,High,Very High,True,High
LTE-TP-EP-001212,542020041221088+20250828105007+Fiji-Nadi-LTE-DL-D!20250828104930,Fiji-Nadi-LTE-DL-D,2025-08-28 00:48:57+02:00,2025-08-28 00:48:58+02:00,2,-17.6489456,177.4432873,-17.6489313,177.4433269,ECI:1078590.0,1078590.0,163.0,40790.0,41.0,1.9871039,18.20735195,106.48158917214784,76.7809449968311,0.025227283496670982,89.81,84.105,95.55,78.64,98.77,90.785,1,1,0,radio_limited_degradation,ml_quantile_p75_resource_underperformance,temporal,statistical_and_ml_consensus,1.0,2.0,2.0,1.0,2.0,12.411332775312687,50.0,1,1,0,0,1,2,2,0,1,0,1,0,0,0,2,9,1.0,True,24.0,73.44,89.58,80.7,High,Very High,True,High
LTE-TP-EP-000512,542020041221088+20250827131704+Fiji-Nadi-LTE-DL-D!20250827121308,Fiji-Nadi-LTE-DL-D,2025-08-27 02:11:11+02:00,2025-08-27 02:11:26+02:00,16,-17.796831,177.4070945,-17.7968346,177.4070939,ECI:1065268.0,1065268.0,146.0,41186.0,41.0,0.059912,0.263812,,,,87.67,73.834375,99.79,96.39687500000001,81.74,46.259375,0,16,0,radio_limited_degradation,normal,radio,statistical_only_retained,15.0,16.0,16.0,1.0,16.0,1.130456267779771,0.0,0,1,2,0,16,0,1,16,0,0,0,13,0,0,16,36,1.0,True,86.0,95.49,62.43,80.62,Critical,High,True,High
LTE-TP-EP-001723,542020041221088+20250828131954+Fiji-Nadi-LTE-DL-D!20250828131344,Fiji-Nadi-LTE-DL-D,2025-08-28 03:13:30+02:00,2025-08-28 03:13:31+02:00,2,-17.6282935,177.4718257,-17.62829378,177.4718262,ECI:3638848.0,3638848.0,254.0,41384.0,41.0,0.004208,2.621708,98.07729499999999,92.83808699999999,0.00011136590088230668,94.68,88.42,90.33,86.715,100.0,90.5,1,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,statistical_and_ml_consensus,1.0,2.0,2.0,1.0,2.0,5.763787596741695,50.0,1,1,1,1,0,2,1,0,1,1,1,0,0,0,2,10,1.0,False,24.0,72.84,90.12,80.62,High,Very High,True,High
LTE-TP-EP-001708,542020041221088+20250828131435+Fiji-Nadi-LTE-DL-D!20250828131128,Fiji-Nadi-LTE-DL-D,2025-08-28 03:10:39+02:00,2025-08-28 03:10:39+02:00,1,-17.627563,177.4689467,-17.627563,177.4689467,ECI:3638838.0,3638838.0,254.0,40988.0,41.0,11.078624,11.078624,111.79482125,100.71619725,0.09909782829050322,89.2,89.2,80.37,80.37,100.0,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,statistical_and_ml_consensus,0.0,1.0,1.0,1.0,1.0,18.931831344272748,100.0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,8,1.0,False,17.0,64.53,100.0,80.49,High,Very High,True,High
LTE-TP-EP-000321,542020041221088+20250827122034+Fiji-Nadi-LTE-DL-D!20250827113125,Fiji-Nadi-LTE-DL-D,2025-08-27 01:30:40+02:00,2025-08-27 01:30:41+02:00,2,-17.77174732,177.42474428,-17.77165117,177.4248377,ECI:1072439.0,1072439.0,394.0,41384.0,41.0,3.655664,15.625636,121.14346,117.487796,0.03017632152821126,96.52,83.82,93.67,77.69,100.0,91.31,1,1,0,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,capability,statistical_and_ml_consensus,1.0,2.0,2.0,1.0,2.0,29.209701741515474,50.0,2,2,1,1,0,2,1,0,1,1,1,0,0,0,0,12,1.0,False,24.0,72.26,90.33,80.39,High,Very High,True,High
LTE-TP-EP-001626,542020041221088+20250828125404+Fiji-Nadi-LTE-DL-D!20250828125334,Fiji-Nadi-LTE-DL-D,2025-08-28 02:51:32+02:00,2025-08-28 02:51:35+02:00,4,-17.6349871,177.4542609,-17.6351409,177.4542181,ECI:1077825.0,1077825.0,167.0,40988.0,41.0,0.47288,1.752016,88.404305,77.572289,0.122528150637008,84.63,83.8925,98.34,91.045,92.61,75.15,1,3,0,radio_limited_degradation,normal,radio,statistical_only_retained,3.0,4.0,4.0,1.0,4.0,17.696515294236107,25.0,1,1,0,1,3,0,0,3,1,1,1,0,0,0,4,12,1.0,True,38.0,81.43,78.84,80.27,Critical,High,True,High
LTE-TP-EP-000557,542020041221088+20250827132825+Fiji-Nadi-LTE-DL-D!20250827122826,Fiji-Nadi-LTE-DL-D,2025-08-27 02:26:47+02:00,2025-08-27 02:26:49+02:00,3,-17.8070401,177.4181157,-17.8070401,177.4181157,ECI:1064759.0,1064759.0,149.0,41384.0,41.0,6.638424,17.795609,121.14346,114.505036,0.05479803862296817,93.68,80.34666666666668,88.51,71.40666666666668,100.0,91.27333333333333,2,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,statistical_and_ml_consensus,2.0,3.0,3.0,1.0,3.0,0.0,66.66666666666666,3,2,1,1,0,2,3,0,2,2,2,0,0,0,3,18,1.0,False,31.0,69.86,92.82,80.19,High,Very High,True,High
LTE-TP-EP-000345,542020041221088+20250827122555+Fiji-Nadi-LTE-DL-D!20250827113546,Fiji-Nadi-LTE-DL-D,2025-08-27 01:34:45+02:00,2025-08-27 01:34:46+02:00,2,-17.7687544,177.4276981,-17.76875384,177.4276977,ECI:1072446.0,1072446.0,394.0,40790.0,41.0,0.006096,6.7902119999999995,118.44779,104.873462,0.00010983397869837968,86.99,86.52,90.19,83.27,100.0,90.5,1,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,statistical_and_ml_consensus,1.0,2.0,2.0,1.0,2.0,11.163868497580907,50.0,1,1,0,1,0,2,1,0,1,1,1,0,0,0,2,9,1.0,False,24.0,71.91,90.12,80.11,High,Very High,True,High
LTE-TP-EP-000323,542020041221088+20250827122034+Fiji-Nadi-LTE-DL-D!20250827113125,Fiji-Nadi-LTE-DL-D,2025-08-27 01:30:59+02:00,2025-08-27 01:30:59+02:00,1,-17.7698283,177.42659,-17.7698283,177.42659,ECI:1072439.0,1072439.0,394.0,41384.0,41.0,2.466552,2.466552,121.14346,118.676908,0.020360587356511032,97.65,97.65,95.73,95.73,100.0,100.0,0,1,0,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,capability,statistical_only_retained,0.0,1.0,1.0,1.0,1.0,28.13090175736444,0.0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,7,1.0,False,17.0,76.05,85.0,80.08,High,Very High,True,High
LTE-TP-EP-001498,542020041221088+20250828122702+Fiji-Nadi-LTE-DL-D!20250828122042,Fiji-Nadi-LTE-DL-D,2025-08-28 02:20:04+02:00,2025-08-28 02:20:04+02:00,1,-17.60599143,177.44355627,-17.60599143,177.44355627,ECI:1076540.0,1076540.0,141.0,40790.0,41.0,11.868384,11.868384,118.44779,106.57940599999999,0.10019928611584902,88.63,88.63,79.32,79.32,100.0,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,statistical_and_ml_consensus,0.0,1.0,1.0,1.0,1.0,0.10286819022327381,100.0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,8,1.0,False,17.0,63.74,100.0,80.06,High,Very High,True,High
LTE-TP-EP-000350,542020041221088+20250827122555+Fiji-Nadi-LTE-DL-D!20250827113546,Fiji-Nadi-LTE-DL-D,2025-08-27 01:35:41+02:00,2025-08-27 01:35:43+02:00,3,-17.773293,177.4233524,-17.77337597,177.42327195,ECI:1072446.0,1072446.0,394.0,40790.0,41.0,0.004808,0.006984,119.0290425,115.4897385,0.00022910449067192247,96.61,82.75666666666666,93.84,79.01333333333334,100.0,87.33333333333333,1,2,0,rolling_local_drop,normal,temporal,statistical_only_retained,2.0,3.0,3.0,1.0,3.0,38.53832559828549,33.33333333333333,1,1,1,1,0,3,1,3,1,1,1,0,0,0,3,14,1.0,False,31.0,74.42,86.83,80.01,High,Very High,True,High
LTE-TP-EP-001217,542020041221088+20250828105207+Fiji-Nadi-LTE-DL-D!20250828105141,Fiji-Nadi-LTE-DL-D,2025-08-28 00:49:42+02:00,2025-08-28 00:49:43+02:00,2,-17.64880843,177.44472512,-17.6488172,177.4447715,ECI:1078590.0,1078590.0,163.0,40790.0,41.0,0.00804,7.053707999999999,93.69764039111706,79.59826439111706,0.0001502185727893336,88.3,86.955,89.39,84.055,100.0,90.5,1,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,temporal,statistical_and_ml_consensus,1.0,2.0,2.0,1.0,2.0,6.918197806956839,50.0,1,1,0,1,0,2,2,0,1,1,1,0,0,0,2,10,1.0,False,24.0,71.71,90.12,80.0,High,Very High,True,High
LTE-TP-EP-000630,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,Fiji-Nadi-LTE-DL-D,2025-08-27 03:05:14+02:00,2025-08-27 03:05:16+02:00,3,-17.7809343,177.43339573,-17.7809278,177.4332135,ECI:1072704.0,1072704.0,395.0,40988.0,41.0,0.00336,0.029088,96.71249163425117,74.72529163425116,5.7614606125718675e-05,86.74,85.14,91.44,83.34666666666666,100.0,87.33333333333333,1,2,0,rb_conditioned_underperformance,normal,temporal,statistical_only_retained,2.0,3.0,3.0,1.0,3.0,19.524554073359326,33.33333333333333,1,1,0,0,0,3,1,0,1,0,1,0,0,0,3,8,1.0,False,31.0,74.31,86.83,79.94,High,Very High,True,High
LTE-TP-EP-000665,542020041221088+20250827134607+Fiji-Nadi-LTE-DL-D!20250827131425,Fiji-Nadi-LTE-DL-D,2025-08-27 03:12:45+02:00,2025-08-27 03:12:47+02:00,3,-17.7750392,177.4325465,-17.7749278,177.4326335,ECI:1067060.0,1067060.0,129.0,41186.0,41.0,0.025344,19.653336,92.02218995975792,72.36885395975793,0.0005275144108750298,85.2,80.67666666666666,87.16,70.32666666666667,100.0,93.32666666666667,2,1,0,radio_limited_degradation,ml_quantile_p75_resource_underperformance,temporal,statistical_and_ml_consensus,2.0,3.0,3.0,1.0,3.0,28.917833352229053,66.66666666666666,1,1,0,0,1,3,2,0,2,2,2,2,0,0,3,14,1.0,True,31.0,68.91,93.33,79.9,High,Very High,True,High
LTE-TP-EP-001214,542020041221088+20250828105007+Fiji-Nadi-LTE-DL-D!20250828104930,Fiji-Nadi-LTE-DL-D,2025-08-28 00:49:13+02:00,2025-08-28 00:49:13+02:00,1,-17.6487992,177.4438233,-17.6487992,177.4438233,ECI:1078590.0,1078590.0,163.0,40790.0,41.0,14.437328,14.437328,100.33373220627267,85.89640420627268,0.14389306250781936,88.37,88.37,78.85,78.85,100.0,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,temporal,statistical_and_ml_consensus,0.0,1.0,1.0,1.0,1.0,5.279162399838094,100.0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,8,1.0,False,17.0,63.39,100.0,79.86,High,Very High,True,High
LTE-TP-EP-001509,542020041221088+20250828123202+Fiji-Nadi-LTE-DL-D!20250828122853,Fiji-Nadi-LTE-DL-D,2025-08-28 02:27:09+02:00,2025-08-28 02:27:09+02:00,1,-17.6227765,177.4353482,-17.6227765,177.4353482,ECI:1079613.0,1079613.0,345.0,40790.0,41.0,10.695448,10.695448,119.0290425,108.3335945,0.08985578456619106,88.18,88.18,81.39,81.39,96.49,96.49,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,statistical_and_ml_consensus,0.0,1.0,1.0,1.0,1.0,10.480227822617186,100.0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,6,1.0,False,17.0,65.29,97.37,79.73,High,Very High,True,High
