anomaly_episode_id,id,route_label,test_type,start_time,end_time,rows,dominant_type,max_score,mean_score,min_actual_tp,median_actual_tp,median_expected_tp,median_expected_radio_p75,median_expected_rb_conditioned_p75,expected_radio_confidence_mode,expected_rb_confidence_mode,min_ratio,min_rb_ratio,median_rb_usage,rb_usage_bucket_mode,rb_demand_confidence_mode,median_throughput_per_rb,primary_serving_pci,primary_earfcn,primary_band,mean_rsrp,mean_sinr,serving_pci_count,duration_seconds,any_event_near_rows,any_event_near_rows_pct,any_event_event_count_sum,measurement_report_event_near_rows,measurement_report_event_near_rows_pct,measurement_report_event_event_count_sum,handover_execution_near_rows,handover_execution_near_rows_pct,handover_execution_event_count_sum,handover_failure_near_rows,handover_failure_near_rows_pct,handover_failure_event_count_sum,rach_attempt_near_rows,rach_attempt_near_rows_pct,rach_attempt_event_count_sum,rach_failure_near_rows,rach_failure_near_rows_pct,rach_failure_event_count_sum,ca_activation_change_near_rows,ca_activation_change_near_rows_pct,ca_activation_change_event_count_sum,failure_other_near_rows,failure_other_near_rows_pct,failure_other_event_count_sum,max_speed,min_distance_from_prev_m,max_distance_from_prev_m,max_severity
LTE-TP-EP-000513,542020041221088+20250827115912+Fiji-Nadi-LTE-DL-D!20250827112451,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 01:23:52+02:00,2025-08-27 01:23:54+02:00,3,rolling_local_drop,94.2,83.667,0.121,0.129,105.96,105.96,41.449,high,high,0.001,0.003,58.0,low_rb_usage,low_or_uncertain,0.009,123.0,41384.0,41.0,-97.984,17.402,1,2.0,3,100.0,84,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,100.0,34,0,0.0,0,0.0,0.0,0.003,High
LTE-TP-EP-000598,542020041221088+20250827122836+Fiji-Nadi-LTE-DL-D!20250827113757,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 01:37:12+02:00,2025-08-27 01:37:14+02:00,3,radio_limited_degradation,94.2,81.733,0.013,0.032,118.448,118.448,23.191,high,high,0.0,0.001,4.0,low_rb_usage,low_or_uncertain,0.008,134.0,40790.0,41.0,-91.473,17.742,1,2.0,3,100.0,575,3,100.0,5,0,0.0,0,0,0.0,0,3,100.0,15,0,0.0,0,3,100.0,12,3,100.0,21,18.756,0.899,11.686,High
LTE-TP-EP-000733,542020041221088+20250827123858+Fiji-Nadi-LTE-DL-D!20250827115524,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 01:54:34+02:00,2025-08-27 01:54:36+02:00,3,radio_limited_degradation,94.2,84.5,0.009,3.676,119.029,119.029,80.399,high,high,0.0,0.0,109.0,high_rb_usage,high,0.034,156.0,40790.0,41.0,-92.859,19.15,1,2.0,3,100.0,84,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,100.0,30,0,0.0,0,36.468,0.251,10.132,High
LTE-TP-EP-000734,542020041221088+20250827123858+Fiji-Nadi-LTE-DL-D!20250827115524,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 01:54:43+02:00,2025-08-27 01:54:45+02:00,3,radio_limited_degradation,94.2,85.1,0.012,1.822,119.029,119.029,80.399,high,high,0.0,0.001,88.0,below_median_rb_usage,unknown,0.021,156.0,40790.0,41.0,-98.443,18.354,1,2.0,3,100.0,84,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,100.0,47,0,0.0,0,36.432,0.196,20.463,High
LTE-TP-EP-001029,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 03:04:22+02:00,2025-08-27 03:04:24+02:00,3,rb_conditioned_underperformance,94.2,86.867,0.004,0.006,111.795,111.795,16.868,high,high,0.0,0.0,1.0,low_rb_usage,low_or_uncertain,0.006,394.0,40988.0,41.0,-80.335,24.344,1,2.0,3,100.0,279,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,100.0,12,0,0.0,0,17.712,0.341,6.499,High
LTE-TP-EP-001033,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 03:04:56+02:00,2025-08-27 03:04:58+02:00,3,rolling_local_drop,94.2,80.067,0.003,0.005,111.795,111.795,16.868,high,high,0.0,0.0,9.0,low_rb_usage,low_or_uncertain,0.001,395.0,40988.0,41.0,-77.308,26.431,1,2.0,3,100.0,121,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,100.0,12,0,0.0,0,0.012,0.007,0.016,High
LTE-TP-EP-001041,542020041221088+20250827134247+Fiji-Nadi-LTE-DL-D!20250827130749,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 03:06:08+02:00,2025-08-27 03:06:10+02:00,3,rolling_local_drop,94.2,81.6,0.018,0.099,118.448,118.448,65.679,high,high,0.0,0.001,81.0,below_median_rb_usage,unknown,0.001,394.0,40790.0,41.0,-87.232,23.722,1,2.0,3,100.0,84,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,100.0,6,3,100.0,21,16.092,0.153,8.742,High
LTE-TP-EP-001215,542020041221088+20250827135949+Fiji-Nadi-LTE-DL-D!20250827134144,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 03:40:44+02:00,2025-08-27 03:40:46+02:00,3,sudden_drop,94.2,92.133,0.011,0.031,118.448,118.448,19.292,high,high,0.0,0.001,2.0,low_rb_usage,low_or_uncertain,0.031,135.0,40790.0,41.0,-86.851,27.761,1,2.0,3,100.0,175,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,100.0,43,0,0.0,0,8.337,8.153,8.355,High
LTE-TP-EP-001219,542020041221088+20250827135949+Fiji-Nadi-LTE-DL-D!20250827134144,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 03:41:08+02:00,2025-08-27 03:41:10+02:00,3,radio_limited_degradation,94.2,81.467,0.01,0.015,118.448,118.448,23.191,high,high,0.0,0.0,1.0,low_rb_usage,low_or_uncertain,0.015,135.0,40790.0,41.0,-84.889,29.122,1,2.0,3,100.0,150,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,100.0,48,0,0.0,0,8.493,8.288,8.854,High
LTE-TP-EP-001220,542020041221088+20250827135949+Fiji-Nadi-LTE-DL-D!20250827134144,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 03:41:15+02:00,2025-08-27 03:41:17+02:00,3,sudden_drop,94.2,81.3,0.01,5.181,118.448,118.448,65.679,high,high,0.0,0.001,85.0,high_rb_usage,high,0.061,135.0,40790.0,41.0,-78.636,29.866,1,2.0,3,100.0,153,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,100.0,53,0,0.0,0,7.821,7.769,7.974,High
LTE-TP-EP-001254,542020041221088+20250827140810+Fiji-Nadi-LTE-DL-D!20250827140022,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 03:58:41+02:00,2025-08-27 03:58:43+02:00,3,sudden_drop,94.2,69.533,0.357,26.221,105.722,105.722,28.31,high,high,0.003,0.013,46.0,low_rb_usage,low_or_uncertain,0.272,124.0,41186.0,41.0,-91.861,15.859,1,2.0,3,100.0,84,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,100.0,37,0,0.0,0,0.004,0.0,0.007,High
LTE-TP-EP-001287,542020041221088+20250827141110+Fiji-Nadi-LTE-DL-D!20250827140445,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 04:03:52+02:00,2025-08-27 04:03:54+02:00,3,sudden_drop,94.2,79.9,0.046,1.553,103.734,103.734,38.169,high,high,0.0,0.001,30.0,low_rb_usage,low_or_uncertain,0.052,124.0,41186.0,41.0,-80.963,23.48,1,2.0,3,100.0,177,0,0.0,0,0,0.0,0,0,0.0,0,1,33.333,5,0,0.0,0,3,100.0,26,0,0.0,0,36.36,1.028,21.683,High
