view,column,kept_for_ml,reason,dtype,non_null_pct,unique_values
capability_augmented,serving_band,True,kept,float64,100.0,4
capability_augmented,id_test_type,True,kept,str,100.0,2
capability_augmented,download_context_label,True,kept,str,100.0,3
capability_augmented,ca_condition_label,True,kept,str,100.0,3
capability_augmented,rsrp_bin,True,kept,str,100.0,4
capability_augmented,rsrq_bin,True,kept,str,100.0,4
capability_augmented,sinr_bin,True,kept,str,100.0,4
cell_aware,ml_hour_sin,True,kept,float64,100.0,8
cell_aware,ml_hour_cos,True,kept,float64,100.0,8
cell_aware,session_elapsed_seconds,True,kept,float64,100.0,125
cell_aware,speed,True,kept,float64,100.0,18415
cell_aware,location_accuracy,True,kept,float64,100.0,13408
cell_aware,altitude,True,kept,float64,100.0,17193
cell_aware,distance_from_prev_m,True,kept,float64,99.52230287238663,27801
cell_aware,lte_rsrp,True,kept,float64,100.0,31592
cell_aware,lte_rsrq,True,kept,float64,100.0,28612
cell_aware,lte_sinr,True,kept,float64,100.0,31730
cell_aware,lte_rssi,True,kept,float64,100.0,31307
cell_aware,carrier_count,True,kept,float64,100.0,3
cell_aware,lte_agg_bandwidth_dl,True,kept,float64,99.99379614119984,6
cell_aware,lte_bandwidth_dl,True,kept,float64,99.99379614119984,2
cell_aware,scell1_rsrp,True,kept,float64,72.41143991562751,22225
cell_aware,scell1_rsrq,True,kept,float64,72.38972640982692,20409
cell_aware,scell1_sinr,True,kept,float64,72.41143991562751,22481
cell_aware,neighbor_count,True,kept,int64,100.0,5
cell_aware,best_neighbor_rsrp,True,kept,float64,99.82008809479497,14835
cell_aware,strong_neighbor_count,True,kept,int64,100.0,5
cell_aware,serving_minus_best_neighbor_rsrp,True,kept,float64,99.82008809479497,31925
cell_aware,neighbor_pci_count,True,kept,int64,100.0,5
cell_aware,ml_log1p_measurement_report_event_count_prev5s,False,constant or single-value feature,float64,100.0,1
cell_aware,ml_log1p_handover_execution_count_prev5s,False,constant or single-value feature,float64,100.0,1
cell_aware,ml_log1p_handover_failure_count_prev10s,False,constant or single-value feature,float64,100.0,1
cell_aware,ml_log1p_rach_attempt_count_prev10s,False,constant or single-value feature,float64,100.0,1
cell_aware,ml_log1p_rach_failure_count_prev10s,False,constant or single-value feature,float64,100.0,1
cell_aware,ml_log1p_ca_activation_change_count_prev10s,False,constant or single-value feature,float64,100.0,1
cell_aware,ml_log1p_failure_other_count_prev10s,False,constant or single-value feature,float64,100.0,1
cell_aware,near_measurement_report_event_prev_flag,False,constant or single-value feature,bool,100.0,1
cell_aware,near_handover_execution_prev_flag,False,constant or single-value feature,bool,100.0,1
cell_aware,near_handover_failure_prev_flag,False,constant or single-value feature,bool,100.0,1
cell_aware,near_rach_failure_prev_flag,False,constant or single-value feature,bool,100.0,1
cell_aware,near_ca_activation_change_prev_flag,False,constant or single-value feature,bool,100.0,1
cell_aware,near_failure_other_prev_flag,False,constant or single-value feature,bool,100.0,1
cell_aware,download_activity_window_raw_flag,True,kept,bool,100.0,2
cell_aware,download_analysis_window_flag,True,kept,bool,100.0,2
cell_aware,inactive_download_context_flag,True,kept,bool,100.0,2
cell_aware,ca_active_flag,False,missing,missing,,0
cell_aware,serving_earfcn,True,kept,float64,100.0,8
cell_aware,serving_band,True,kept,float64,100.0,4
cell_aware,id_test_type,True,kept,str,100.0,2
cell_aware,download_context_label,True,kept,str,100.0,3
cell_aware,ca_condition_label,True,kept,str,100.0,3
cell_aware,serving_pci,True,kept,float64,100.0,186
cell_aware,serving_eci,True,kept,float64,99.81698616539487,627
temporal_lag,ml_hour_sin,True,kept,float64,100.0,8
temporal_lag,ml_hour_cos,True,kept,float64,100.0,8
temporal_lag,session_elapsed_seconds,True,kept,float64,100.0,125
temporal_lag,speed,True,kept,float64,100.0,18415
