sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,expected_tp_p75,expected_tp_median,expected_tp_mean,expected_tp_group_n,expected_tp_p75_ci_low,expected_tp_p75_ci_high,expected_tp_p75_ci_width,fallback_level,group_cols,reference_scope,reference_name
Fair,Excellent,2.0,1,356,24.240215,14.418632,22.994891733333333,33,20.06227365,35.12952,15.067246349999998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Excellent,2.0,1,500,85.55677,50.914032,57.690868638400005,125,79.50032785,96.26175049999998,16.76142264999997,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Excellent,2.0,28,9310,79.1365,55.6536,60.37594998780488,41,65.96619100000001,112.45015,46.483958999999984,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Excellent,2.0,3,1850,60.184238,43.89856,46.959109672955975,159,58.3971305875,69.43837712499999,11.041246537499987,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Excellent,2.0,41,40790,57.088192,31.7168,38.23647410526316,57,46.519311,66.545006,20.025695,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Excellent,2.0,41,40988,83.236885,42.310745,48.8126940816,125,71.374214,97.34628,25.972065999999998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Excellent,2.0,41,41186,51.028437499999995,35.8199115,39.481175071428574,56,42.4453586,61.56113874999999,19.115780149999992,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Excellent,2.0,41,41384,60.77238875,48.3960575,46.91335820535714,112,56.7191000375,69.3671939375,12.648093900000006,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Excellent,3.0,1,500,82.33302499999999,59.9987105,61.60078448484849,66,75.61237009375,90.57216,14.959789906249995,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,1.0,1,356,24.14074,18.6802,17.074060589743592,39,21.8136017125,28.012675,6.199073287500003,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,1.0,1,500,51.94293,38.8196,37.810447230769235,65,43.004112,55.19167677499993,12.187564774999927,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,1.0,3,1850,40.435553999999996,28.9242875,26.717339312500002,48,35.0554,47.11213225,12.056732250000003,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,1.0,41,40790,37.449936,24.225376,25.593505386956522,161,32.92737,39.797300775000004,6.869930775,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,1.0,41,40988,31.1482275,19.236536,23.37525446521739,115,25.373045899999997,39.66500236249999,14.291956462499993,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,1.0,41,41186,36.47688,29.531937,28.589356927038626,233,34.6879144,37.96309,3.2751756000000043,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,1.0,41,41384,32.0591485,20.657227499999998,22.43052721297212,434,30.46379006875,34.29424139375,3.8304513249999985,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,2.0,1,356,39.77052475,25.0302035,27.54686058333333,48,30.89694338125,46.35419586875,15.457252487499996,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,2.0,1,500,90.28093,50.232727,57.53930506698565,209,81.9122,100.692105875,18.779905874999997,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,2.0,3,1850,58.105742750000005,39.803747,39.59180281521739,92,51.46460856875,63.8928949125,12.428286343749996,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,2.0,41,40790,60.347314999999995,35.824272,41.433958710045665,219,52.75265395,65.764526825,13.011872875000002,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,2.0,41,40988,65.36004299999999,37.983727,44.01261635890909,275,58.508927387499995,71.600351875,13.091424487500007,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,2.0,41,41186,60.097231750000006,37.138284999999996,41.26999113647059,238,54.430122499999996,65.2048781875,10.774755687500004,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,2.0,41,41384,60.15991375,39.9898415,42.563535442307696,416,56.878235581249996,62.2689994,5.390763818750003,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
