site_sector_ID,siteID,sectors_count,sectorID,Requires_Planning,Azimuth,Latitude,Longitude,Freq Band,Cell Radius,RSI,PCI,Mod4,Unnamed: 15,PCI_numeric,Mod4_numeric,Expected_Mod4,Mod4_Matches
ALX3989-2,ALX3989,3,92,False,190,31.171166,27.6579,N41,7000,8.0,881.0,1.0,,881.0,1.0,1.0,True
ALX3989-3,ALX3989,3,93,False,285,31.171166,27.6579,N41,7000,0.0,882.0,2.0,,882.0,2.0,2.0,True
ALX3991-1,ALX3991,4,91,False,0,31.084211,28.155477,N41,7000,455.0,846.0,2.0,,846.0,2.0,2.0,True
ALX3991-2,ALX3991,4,92,False,65,31.084211,28.155477,N41,7000,450.0,844.0,0.0,,844.0,0.0,0.0,True
ALX3991-3,ALX3991,4,93,False,135,31.084211,28.155477,N41,7000,445.0,845.0,1.0,,845.0,1.0,1.0,True
ALX3991-4,ALX3991,4,94,False,275,31.084211,28.155477,N41,7000,440.0,451.0,3.0,,451.0,3.0,3.0,True
ALX3994-1,ALX3994,3,91,False,145,30.864079,28.937178,N41,7000,610.0,863.0,3.0,,863.0,3.0,3.0,True
ALX3994-2,ALX3994,3,92,False,210,30.864079,28.937178,N41,7000,475.0,864.0,0.0,,864.0,0.0,0.0,True
ALX3994-3,ALX3994,3,93,False,270,30.864079,28.937178,N41,7000,470.0,865.0,1.0,,865.0,1.0,1.0,True
ALX3995-1,ALX3995,4,91,False,50,30.81705,29.10084,N41,7000,35.0,473.0,1.0,,473.0,1.0,1.0,True
ALX3995-2,ALX3995,4,92,False,120,30.81705,29.10084,N41,7000,30.0,976.0,0.0,,976.0,0.0,0.0,True
ALX3995-3,ALX3995,4,93,False,220,30.81705,29.10084,N41,7000,25.0,999.0,3.0,,999.0,3.0,3.0,True
ALX3995-4,ALX3995,4,94,False,285,30.81705,29.10084,N41,7000,805.0,406.0,2.0,,406.0,2.0,2.0,True
