serving_cell_key,serving_eci,serving_pci,serving_earfcn,approx_latitude,approx_longitude,location_uncertainty_radius_m,p90_observation_spread_m,anomaly_gps_rows,sessions,max_incident_priority_0_100,dominant_case,coverage_or_planning_review,location_reliability,location_is_tower_coordinate,location_method
ECI:1068850.0,1068850.0,111.0,41186.0,-17.7676589,177.47579919999998,418.28631722229966,418.28631722229966,8,3,54.57,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1079103.0,1079103.0,168.0,40988.0,-17.6189986,177.4475218,607.7980450955503,607.7980450955503,7,2,54.48,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1072405.0,1072405.0,395.0,500.0,-17.7688392,177.4359416,0.0,0.0,1,1,54.47,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1077812.0,1077812.0,167.0,41186.0,-17.62800616,177.45190611,1034.5350583376717,1034.5350583376717,7,2,54.37,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1066822.0,1066822.0,157.0,9310.0,-17.6899095,177.4117465,12.022688429167511,12.022688429167511,3,1,54.36,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1067031.0,1067031.0,127.0,41384.0,-17.7721071,177.4392267,0.0,0.0,1,1,54.31,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1071667.0,1071667.0,395.0,41186.0,-17.8057521,177.42819138,1152.966070816761,1152.966070816761,3,2,54.25,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1082176.0,1082176.0,140.0,40988.0,-17.6094371,177.45391080000002,577.6175765819257,577.6175765819257,8,3,54.19,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1081414.0,1081414.0,453.0,9310.0,-17.6897531,177.4115995,921.9290287350418,921.9290287350418,3,2,54.12,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1076544.0,1076544.0,182.0,40988.0,-17.61141284,177.45512159499998,412.2925522220535,412.2925522220535,6,2,54.0,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1067071.0,1067071.0,130.0,40988.0,-17.76989182,177.44097552,452.06528959768974,452.06528959768974,3,2,53.98,ca_underperformance,True,LOW,False,anomaly_observation_centroid
