anomaly_episode_id,id,route_label,test_type,start_time,end_time,rows,dominant_type,max_score,mean_score,min_actual_tp,median_actual_tp,median_expected_tp,median_expected_radio_p75,median_expected_rb_conditioned_p75,expected_radio_confidence_mode,expected_rb_confidence_mode,min_ratio,min_rb_ratio,median_rb_usage,rb_usage_bucket_mode,rb_demand_confidence_mode,median_throughput_per_rb,primary_serving_pci,primary_earfcn,primary_band,mean_rsrp,mean_sinr,serving_pci_count,duration_seconds,any_event_near_rows,any_event_near_rows_pct,any_event_event_count_sum,measurement_report_event_near_rows,measurement_report_event_near_rows_pct,measurement_report_event_event_count_sum,handover_execution_near_rows,handover_execution_near_rows_pct,handover_execution_event_count_sum,handover_failure_near_rows,handover_failure_near_rows_pct,handover_failure_event_count_sum,rach_attempt_near_rows,rach_attempt_near_rows_pct,rach_attempt_event_count_sum,rach_failure_near_rows,rach_failure_near_rows_pct,rach_failure_event_count_sum,ca_activation_change_near_rows,ca_activation_change_near_rows_pct,ca_activation_change_event_count_sum,failure_other_near_rows,failure_other_near_rows_pct,failure_other_event_count_sum,max_speed,min_distance_from_prev_m,max_distance_from_prev_m,max_severity
LTE-TP-EP-000025,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:41:46+02:00,2025-08-26 23:41:46+02:00,1,ca_underperformance,65.3,65.3,13.486,13.486,62.465,62.465,68.421,high,medium,0.216,0.197,119.423,medium_rb_usage,medium,0.113,290.24349863543813,42242.35570208932,40.71558384376439,-103.822,6.254,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.077,1234.344,1234.344,High
LTE-TP-EP-000026,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:41:52+02:00,2025-08-26 23:41:52+02:00,1,rb_conditioned_underperformance,61.0,61.0,20.841,20.841,62.465,62.465,65.932,high,high,0.334,0.316,162.906,high_rb_usage,high,0.128,295.3415750103094,39676.89476760868,42.486043519588456,-106.406,5.04,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.268,481.0,481.0,High
LTE-TP-EP-000033,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:43:01+02:00,2025-08-26 23:43:01+02:00,1,rb_conditioned_underperformance,61.0,61.0,34.4,34.4,108.961,108.961,116.727,high,high,0.316,0.295,171.903,high_rb_usage,high,0.2,149.4959146612578,40892.345403262516,41.39674436129153,-101.469,16.506,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5.854,409.779,409.779,High
LTE-TP-EP-000024,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:41:43+02:00,2025-08-26 23:41:44+02:00,2,sudden_drop,60.5,58.0,17.499,17.943,62.465,62.465,59.623,high,not_available_or_sparse,0.28,0.269,106.663,low_rb_usage,low_or_uncertain,0.177,291.18871446807304,40727.26086630996,39.722446265470694,-105.269,4.822,2,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.017,412.355,789.83,High
LTE-TP-EP-000035,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:43:19+02:00,2025-08-26 23:43:19+02:00,1,sudden_drop,58.7,58.7,19.01,19.01,80.596,80.596,68.421,medium,medium,0.236,0.278,131.697,medium_rb_usage,medium,0.144,140.874278382318,41287.06562333062,42.16382733556123,-109.875,12.078,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,10.151,601.29,601.29,Medium
LTE-TP-EP-000012,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:39:38+02:00,2025-08-26 23:39:38+02:00,1,sudden_drop,58.0,58.0,31.559,31.559,62.465,62.465,65.932,high,high,0.505,0.479,169.844,high_rb_usage,high,0.186,276.91927613789954,41146.197385364234,40.33844277335382,-108.851,6.97,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1.074,479.065,479.065,Medium
LTE-TP-EP-000007,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:38:44+02:00,2025-08-26 23:38:44+02:00,1,radio_limited_degradation,56.5,56.5,14.597,14.597,36.313,36.313,24.64,high,high,0.402,0.592,73.846,low_rb_usage,low_or_uncertain,0.198,146.54995436855157,40344.6301800611,40.9425621130946,-107.801,8.958,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.171,532.041,532.041,Medium
LTE-TP-EP-000031,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:42:50+02:00,2025-08-26 23:42:50+02:00,1,radio_limited_degradation,56.5,56.5,11.383,11.383,36.313,36.313,24.64,high,high,0.313,0.462,74.225,low_rb_usage,low_or_uncertain,0.153,147.0543396422168,42366.670791103075,41.097103465827566,-113.059,7.923,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.41,194.336,194.336,Medium
LTE-TP-EP-000038,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:43:34+02:00,2025-08-26 23:43:34+02:00,1,sudden_drop,56.1,56.1,33.735,33.735,106.145,106.145,68.421,high,medium,0.318,0.493,115.801,medium_rb_usage,medium,0.291,158.59758238131118,42216.657930273235,43.234695619913076,-98.929,18.96,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,10.629,756.947,756.947,Medium
LTE-TP-EP-000040,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:43:41+02:00,2025-08-26 23:43:41+02:00,1,sudden_drop,56.0,56.0,32.757,32.757,62.465,62.465,65.932,high,high,0.524,0.497,169.539,high_rb_usage,high,0.193,154.7101111167638,41029.04592842044,40.995218833263024,-115.096,7.927,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,10.752,1292.139,1292.139,Medium
LTE-TP-EP-000030,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:42:23+02:00,2025-08-26 23:42:24+02:00,2,sudden_drop,54.5,52.25,13.006,16.33,36.313,36.313,30.544,high,high,0.358,0.528,79.266,below_median_rb_usage,unknown,0.204,141.7149752565512,40673.73187878959,41.20775349050224,-111.88,5.196,2,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.437,336.54,364.95,Medium
