column,dtype,used_by_any_model,models_using_column,decision,exclusion_reason,target_or_post_anomaly_pattern_flag,non_null_pct,unique_values
LTE - PrimaryCell - PCell_ResourceBlockNum,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell - PCell_Throughput,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,412
LTE - PrimaryCell - PCell_ThroughputStream0,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,412
LTE - PrimaryCell - PCell_ThroughputStream1,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,412
LTE - PrimaryCell - PCell_ThroughputStreamAll,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,412
LTE.DownlinkMeasurements.Throughput_DL,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,412
LTE.LTE_Data_KPI.Agg_Throughput_DL,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,412
LTE - PrimaryCell - PCell_BandWidth_DL,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - Serving - BandWidth_DL,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE.LTE_Data_KPI.Agg_Bandwidth_DL,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell - PCell_Band,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell - PCell_EARFCN_DL,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell - PCell_PCI,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell Radio - PCell_RSRQ,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell Radio - PCell_RSSI,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell Radio - PCell_SINR,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell Radio - RSRP,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - Serving - Band,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - Serving - EARFCN_DL,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - Serving - PCI,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE.DedicatedRadioLink.CarrierCount,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - Serving - ECI,float64,False,,NOT_USED,not selected for any model objective,False,99.75728155339806,411
LTE - Serving - EnodeBID,float64,False,,NOT_USED,not selected for any model objective,False,99.75728155339806,411
LTE - Serving - LCI,float64,False,,NOT_USED,not selected for any model objective,False,99.75728155339806,411
LTE - Serving - MCC,float64,False,,NOT_USED,not selected for any model objective,False,99.75728155339806,407
LTE - Serving - MNC,float64,False,,NOT_USED,not selected for any model objective,False,99.75728155339806,411
LTE - Serving - TAC,float64,False,,NOT_USED,not selected for any model objective,False,99.75728155339806,411
LTE.LTE_Data_KPI.Agg_RB_DL,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE.LTE_Data_KPI.Agg_RB_UL,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
Events.subject,str,False,,NOT_USED,not selected for any model objective,False,16.019417475728158,23
Events.description,str,False,,NOT_USED,not selected for any model objective,False,18.689320388349515,53
WCDMA - WCDMACellsTable(3) - Band,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(3) - EcNo,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(3) - EcNo Before RAKE,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(3) - PSC,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(3) - RSCP,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(3) - RSCP After RAKE,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(3) - Set_Type,object,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(3) - UARFCN,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
Events.Tech,str,False,,NOT_USED,not selected for any model objective,False,24.271844660194176,16
Events.Timestamp,str,False,,NOT_USED,not selected for any model objective,False,24.271844660194176,100
Events.category,str,False,,NOT_USED,not selected for any model objective,False,24.271844660194176,23
Events.titles,str,False,,NOT_USED,not selected for any model objective,False,24.271844660194176,43
WCDMA - WCDMACellsTable(2) - Band,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(2) - EcNo,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(2) - EcNo Before RAKE,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(2) - PSC,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(2) - RSCP,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(2) - RSCP After RAKE,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(2) - Set_Type,object,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(2) - UARFCN,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
Extra_KPIs.CSFB RAT,object,False,,NOT_USED,not selected for any model objective,False,0.0,0
Extra_KPIs.Call RAT,object,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(1) - Band,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(1) - EcNo,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(1) - EcNo Before RAKE,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(1) - PSC,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(1) - RSCP,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(1) - RSCP After RAKE,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(1) - Set_Type,object,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(1) - UARFCN,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - DownlinkMeasurements - RSCP_Strongest_Neighbor_2nd,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(0) - Band,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(0) - EcNo,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(0) - EcNo Before RAKE,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(0) - PSC,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(0) - RSCP,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(0) - RSCP After RAKE,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(0) - UARFCN,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - Serving - RAI,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - Serving - ServiceType,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - Serving - LAC,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - DownlinkMeasurements - RSCP_Strongest_Neighbor_1st,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - UplinkMeasurements - RACHAICHStatus,object,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - UplinkMeasurements - RACHAICHTiming,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - UplinkMeasurements - RACHMsgLength,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - UplinkMeasurements - RACHPreambleCount,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - UplinkMeasurements - RACHSubChannel,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - UplinkMeasurements - RACHTxPower,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - UplinkMeasurements - RACHMaxTxPower,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - UplinkMeasurements - RACHPreambleOffset,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - UplinkMeasurements - RACHPreamblesCountMax,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - ServingCell - URA_Identity,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - UplinkMeasurements - Uu_UL_Interference,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - DownlinkMeasurements - SIR,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - DownlinkMeasurements - TxPowerCommandDL,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - DownlinkMeasurements - TxPowerCommandUL,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - Serving - CI,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - Serving - LCI,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - Serving - RNCID,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - Serving - MCC,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - Serving - MNC,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - DownlinkMeasurements - PowerControlAlgorithm,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - DownlinkMeasurements - TPCStepSize,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - DownlinkMeasurements - BLER_DL,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - DownlinkMeasurements - TxPower,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - DownlinkMeasurements - EcNo,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - DownlinkMeasurements - EcNo Before RAKE,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - DownlinkMeasurements - RSCP,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - DownlinkMeasurements - RSCP After RAKE,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - DownlinkMeasurements - RSSI,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - ServingCell - BandIndicator,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - ServingCell - PSC,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - ServingCell - UARFCN_DL,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - ServingCell - UARFCN_UL,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - ServingCell - Active_set_num,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Location - Accuracy,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
Location - Altitude,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
Location - Latitude,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
Location - Longitude,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
Location - Speed,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
PCAP.Connection_reset,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
PCAP.TCP_window_update,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
PCAP.dns_time,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
PCAP.duplicate_ack,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
PCAP.fast_retransmission,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
PCAP.initial_rtt,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
PCAP.out_of_order,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
PCAP.pkt_loss,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
PCAP.rtt,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
PCAP.spurious_retransmission,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
id,str,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,4
imsi,float64,False,,NOT_USED,not selected for any model objective,False,100.0,1
timestamp,"datetime64[ns, UTC+02:00]",False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,412
id_imsi,str,False,,NOT_USED,not selected for any model objective,False,100.0,1
id_session_time_raw,str,False,,NOT_USED,not selected for any model objective,False,100.0,4
id_route_test_label,str,False,,NOT_USED,not selected for any model objective,False,100.0,1
id_log_time_raw,str,False,,NOT_USED,not selected for any model objective,False,100.0,4
id_session_time,datetime64[us],False,,NOT_USED,not selected for any model objective,False,100.0,4
id_log_time,datetime64[us],False,,NOT_USED,not selected for any model objective,False,100.0,4
id_location_label,str,False,,NOT_USED,not selected for any model objective,False,100.0,1
id_test_type,str,False,,NOT_USED,not selected for any model objective,False,100.0,1
date,object,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,1
hour,int32,False,,NOT_USED,not selected for any model objective,False,100.0,1
minute,int32,False,,NOT_USED,not selected for any model objective,False,100.0,10
sample_gap_seconds,float64,False,,NOT_USED,not selected for any model objective,False,99.27184466019418,7
session_elapsed_seconds,float64,True,capability;capability_augmented;capability_pure;cell_aware;lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,124
Activity.Start TimeStamp_parsed,"datetime64[us, UTC+02:00]",False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.End TimeStamp_parsed,"datetime64[us, UTC+02:00]",False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
