serving_pci,rows,sessions,median_tp_mbps,p10_tp_mbps,mean_tp_mbps,low_tp_pct,stat_anomaly_pct,rca_handoff_pct,median_p75_gap_mbps,p90_p75_gap_mbps,median_rsrp_dbm,median_rsrq_db,median_sinr_db,median_cqi,median_mcs,median_bler_pct,p90_bler_pct,median_rb_usage,median_tp_per_rb,approx_observation_latitude,approx_observation_longitude,gps_observation_rows,median_tp_badness,p10_tp_badness,anomaly_rate_badness,p75_gap_badness,cqi_badness,mcs_badness,bler_badness,sinr_badness,rsrq_badness,rsrp_badness,bad_entity_score_0_100,entity_label,bad_entity_rank,bad_entity_percentile,bad_entity_candidate_flag,rank_reliability
132.0,162,5,26.805419999999998,2.038412800000001,25.928272847530867,30.246913580246915,33.33333333333333,16.666666666666664,38.4042225,110.7367057,-90.467605,-9.704481999999999,12.8351665,8.0,18.0,9.5124015,19.0089036,88.0,0.29447822406015034,-17.7914203,177.42335585,162,0.7534246575342466,0.8356164383561644,0.8184931506849316,0.910958904109589,0.75,0.5753424657534246,0.8767123287671232,0.4315068493150685,0.3150684931506849,0.3013698630136986,73.93,pci_only_reuse_caution,21,86.3,False,HIGH
177.0,145,3,18.897888,7.368940800000001,19.994167920689655,23.448275862068964,28.965517241379313,24.82758620689655,23.2219485,43.88282805,-100.5649,-10.84949,10.983695,8.0,16.0,8.196721,13.913563799999999,107.0,0.20229851851851852,-17.6042825,177.4790069,145,0.8561643835616438,0.5684931506849316,0.7465753424657534,0.684931506849315,0.75,0.7636986301369864,0.7123287671232876,0.6095890410958904,0.6438356164383562,0.7534246575342466,73.25,pci_only_reuse_caution,22,85.62,False,HIGH
82.0,54,4,16.3076165,4.2845568,18.678827005555554,25.925925925925924,33.33333333333333,27.77777777777778,18.27432175,43.14757250000001,-108.632238,-11.078472,9.926534499999999,8.0,16.0,3.9512726000000002,9.849740800000001,93.0,0.1668507689982729,-17.775659495,177.476794655,54,0.9041095890410958,0.7397260273972602,0.8184931506849316,0.5958904109589042,0.75,0.7636986301369864,0.22602739726027396,0.726027397260274,0.6986301369863014,0.9726027397260274,73.04,pci_only_reuse_caution,23,84.93,False,MEDIUM
355.0,78,4,25.1396315,4.907437600000001,39.03892412179487,24.358974358974358,37.17948717948718,33.33333333333333,23.297360749999996,51.941321599999995,-90.79538249999999,-10.673313499999999,10.107057000000001,8.0,12.5,5.2554655,10.712489999999999,165.5,0.1769838883747831,-17.641497095,177.431553635,78,0.7808219178082192,0.7054794520547946,0.8835616438356164,0.7054794520547946,0.75,0.9383561643835616,0.3835616438356164,0.7123287671232876,0.6027397260273972,0.3287671232876712,72.71,pci_only_reuse_caution,24,84.25,False,MEDIUM
210.0,56,3,67.97588999999999,1.35896,60.956909426785714,19.642857142857142,28.57142857142857,25.0,36.09449875,108.47819350000002,-105.11397550000001,-16.5706835,1.9600283,8.0,13.0,10.259083,11.879825,236.5,0.3081206551284774,-17.76307885,177.46441849,56,0.2808219178082192,0.8972602739726028,0.7294520547945206,0.8972602739726028,0.75,0.9143835616438356,0.9315068493150684,1.0,0.9931506849315068,0.8904109589041096,72.13,pci_only_reuse_caution,25,83.56,False,MEDIUM
250.0,63,3,46.310825,0.83048,48.30663012695238,19.047619047619047,28.57142857142857,26.984126984126984,45.518319999999996,147.65994720000012,-92.13577,-14.481618,9.101089,9.0,17.0,10.187933,12.3427258,90.0,0.45679277108433736,-17.61970348,177.46368534,63,0.4589041095890411,0.9246575342465754,0.7294520547945206,0.958904109589041,0.5513698630136986,0.6746575342465754,0.9246575342465754,0.7808219178082192,0.9657534246575342,0.3767123287671233,71.1,pci_only_reuse_caution,26,82.88,False,MEDIUM
140.0,444,14,26.0530155,3.2607896000000003,36.02260381238739,25.675675675675674,36.711711711711715,29.054054054054053,19.175363000000004,56.609945149999994,-101.28264,-10.081908,10.6264375,8.5,15.0,5.13448785,11.492947299999999,149.5,0.23678963161987715,-17.61219909,177.45073853,444,0.7671232876712328,0.7808219178082192,0.8698630136986302,0.6095890410958904,0.636986301369863,0.821917808219178,0.3767123287671233,0.6438356164383562,0.4794520547945205,0.7671232876712328,69.98,pci_only_reuse_caution,27,82.19,False,HIGH
487.0,727,25,15.087928,0.6256336000000002,22.277655035458046,39.75240715268226,47.45529573590097,27.785419532324624,17.819380000000002,64.594372,-103.0625,-10.009339,11.697559,11.0,17.0,4.645048,11.150376399999999,69.0,0.20375702127659573,-17.73934393,177.45668877,727,0.9178082191780822,0.9383561643835616,0.9383561643835616,0.5821917808219178,0.22945205479452055,0.6746575342465754,0.3287671232876712,0.5342465753424658,0.4383561643835616,0.863013698630137,69.89,pci_only_reuse_caution,28,81.51,False,HIGH
352.0,249,6,24.617128,4.0871968,36.678269015983936,24.899598393574294,30.923694779116467,21.285140562248998,13.807888250000003,46.25716120000001,-104.51136,-9.934103,9.512361,7.0,14.0,3.5365853,7.1157754,140.0,0.2041980223880597,-17.6310307,177.476323,249,0.8013698630136986,0.7534246575342466,0.7808219178082192,0.5068493150684932,0.9006849315068494,0.8664383561643836,0.15753424657534246,0.7534246575342466,0.4041095890410959,0.8835616438356164,69.71,pci_only_reuse_caution,29,80.82,False,HIGH
275.0,219,10,34.482346,0.9657568,37.607950992694064,26.027397260273972,28.31050228310502,13.698630136986301,37.27157499999999,82.1383028,-90.11152,-12.322704,12.525845,8.0,19.0,8.129544,11.466091600000004,95.0,0.35693908661417323,-17.6316937,177.4559798,219,0.6164383561643836,0.9178082191780822,0.7123287671232876,0.9041095890410958,0.75,0.4520547945205479,0.684931506849315,0.4452054794520548,0.8493150684931506,0.2876712328767123,69.34,pci_only_reuse_caution,30,80.14,False,HIGH
395.0,580,13,20.5607445,1.9045440000000002,31.188427482378447,34.48275862068966,39.13793103448276,25.17241379310345,28.191774125000002,71.733906,-97.9251275,-10.048373999999999,11.751552,10.0,18.0,5.12264565,11.121495200000002,78.0,0.2597752957987739,-17.80634185,177.433258295,580,0.8356164383561644,0.8493150684931506,0.910958904109589,0.7945205479452054,0.3732876712328767,0.5753424657534246,0.3698630136986301,0.5205479452054794,0.4657534246575342,0.6164383561643836,69.12,pci_only_reuse_caution,31,79.45,False,HIGH
214.0,30,2,35.5219995,1.5918528000000003,43.42405616666667,26.666666666666668,26.666666666666668,20.0,5.700542500000003,35.74444292500006,-99.1324,-13.598606499999999,5.2928595000000005,6.0,18.5,8.157639,10.680133099999999,153.0,0.27738623198454193,-17.769291185,177.455059215,30,0.6027397260273972,0.8835616438356164,0.6506849315068494,0.2602739726027397,0.9691780821917808,0.5205479452054794,0.6917808219178082,0.9657534246575342,0.9383561643835616,0.678082191780822,68.41,pci_only_reuse_caution,32,78.77,False,LOW
376.0,39,2,18.235895,8.961108800000002,20.164607512820513,17.94871794871795,28.205128205128204,20.51282051282051,24.823099749999997,57.544205000000005,-91.78775,-9.596301,10.5379305,9.0,16.0,7.9710145,11.8530048,108.0,0.17765462393162393,-17.62724301,177.4493433,39,0.8767123287671232,0.4863013698630137,0.7054794520547946,0.726027397260274,0.5513698630136986,0.7636986301369864,0.6301369863013698,0.6712328767123288,0.273972602739726,0.3493150684931507,67.93,pci_only_reuse_caution,33,78.08,False,LOW
353.0,96,7,32.319788,7.7261599,38.051058777083334,16.666666666666664,36.45833333333333,29.166666666666668,23.244091875,47.587031499999995,-98.71033499999999,-10.76211,12.268928500000001,6.0,14.0,4.55490375,9.247477,165.0,0.228178054248366,-17.619619874999998,177.46894896,96,0.6712328767123288,0.547945205479452,0.8561643835616438,0.6917808219178082,0.9691780821917808,0.8664383561643836,0.3082191780821918,0.4931506849315068,0.6232876712328768,0.6438356164383562,67.85,pci_only_reuse_caution,34,77.4,False,MEDIUM
