serving_cell_key,rows,sessions,median_tp_mbps,p10_tp_mbps,mean_tp_mbps,low_tp_pct,stat_anomaly_pct,rca_handoff_pct,median_p75_gap_mbps,p90_p75_gap_mbps,median_rsrp_dbm,median_rsrq_db,median_sinr_db,median_cqi,median_mcs,median_bler_pct,p90_bler_pct,median_rb_usage,median_tp_per_rb,approx_observation_latitude,approx_observation_longitude,gps_observation_rows,median_tp_badness,p10_tp_badness,anomaly_rate_badness,p75_gap_badness,cqi_badness,mcs_badness,bler_badness,sinr_badness,rsrq_badness,rsrp_badness,bad_entity_score_0_100,entity_label,bad_entity_rank,bad_entity_percentile,bad_entity_candidate_flag,rank_reliability,serving_pci,serving_eci,serving_earfcn,serving_band
ECI:1066006.0,41,2,28.111032,5.948912,25.249897560975608,17.073170731707318,24.390243902439025,24.390243902439025,8.364526999999999,38.021381999999996,-105.923325,-11.325843,7.6449447,7.0,13.0,9.536638,18.221071,88.0,0.287578,-17.76269166,177.43155284,41,0.7286245353159851,0.6431226765799256,0.6096654275092936,0.3754646840148699,0.8736059479553904,0.8773234200743495,0.895910780669145,0.8364312267657993,0.7397769516728625,0.8773234200743495,72.06,cell_key,53,80.67,False,LOW,125.0,1066006.0,500.0,1.0
ECI:1067031.0,40,1,7.883652,1.9376487999999998,7.343754799999999,72.5,72.5,45.0,4.780956,30.447239950000007,-98.630608,-9.67279225,9.9348695,9.0,19.0,8.352121,16.996656700000006,32.5,0.2403715322580645,-17.77202298,177.43860354999998,40,0.9479553903345725,0.8327137546468402,0.9553903345724907,0.26765799256505574,0.5892193308550185,0.4739776951672863,0.6840148698884758,0.6765799256505576,0.34572490706319703,0.6245353159851301,72.0,cell_key,54,80.3,False,LOW,130.0,1067031.0,356.0,1.0
ECI:1077812.0,41,2,4.10496,0.605528,4.8622159748780485,85.36585365853658,85.36585365853658,24.390243902439025,42.4183695,56.191714000000005,-92.29803,-9.421053,14.242223,11.0,20.0,5.5718474,16.736403,47.0,0.08871885714285714,-17.6274603,177.4527502,41,0.9851301115241635,0.9107806691449815,0.9814126394052045,0.8996282527881041,0.2955390334572491,0.36617100371747213,0.4349442379182156,0.3754646840148699,0.2379182156133829,0.34944237918215615,71.45,cell_key,56,79.55,False,LOW,167.0,1077812.0,41186.0,41.0
ECI:3643080.0,32,2,61.7220985,7.273061600000001,65.35466934375,12.5,28.125,28.125,56.24435999999999,110.35014040000002,-101.45237,-16.348856,3.22445675,8.0,14.0,10.7393865,12.9434989,195.0,0.34628717781866847,-17.629354149999998,177.4405145,32,0.3308550185873606,0.5724907063197026,0.6914498141263941,0.9553903345724907,0.7397769516728625,0.8345724907063197,0.9591078066914498,0.9925650557620818,0.9962825278810409,0.758364312267658,68.81,cell_key,63,76.95,False,LOW,310.0,3643080.0,356.0,1.0
ECI:1079576.0,31,3,34.147655,1.364344,28.939738838709676,32.25806451612903,35.483870967741936,25.806451612903224,13.771025000000002,27.135075999999998,-94.76908,-9.793883,10.792137,9.0,15.0,8.843537,14.285714,100.0,0.3380955940594059,-17.62303106,177.4355234,31,0.6319702602230484,0.862453531598513,0.7955390334572491,0.49814126394052044,0.5892193308550185,0.775092936802974,0.8178438661710037,0.6319702602230484,0.3828996282527881,0.43866171003717475,67.94,cell_key,64,76.58,False,LOW,345.0,1079576.0,356.0,1.0
ECI:1073468.0,36,2,22.7023,13.138368,23.09195297222222,8.333333333333332,38.88888888888889,38.88888888888889,20.34198,40.769867,-108.53,-11.195992,7.90714365,7.5,15.0,3.6188419,8.482829500000001,160.0,0.181282801953577,-17.7707931,177.48788685,36,0.7769516728624535,0.4052044609665427,0.8401486988847584,0.6096654275092936,0.8234200743494424,0.775092936802974,0.2342007434944238,0.828996282527881,0.7100371747211895,0.9330855018587361,67.76,cell_key,65,76.21,False,LOW,80.0,1073468.0,40790.0,41.0
ECI:3631414.0,32,3,35.5219995,2.2844160000000002,41.90990553125,28.125,31.25,25.0,8.2990865,69.00879352500006,-96.6799675,-13.293198,7.54928065,6.0,18.5,7.5723622,10.1737263,138.5,0.26607856603773583,-17.769402435,177.45511929000003,32,0.6096654275092936,0.8141263940520446,0.7434944237918215,0.37174721189591076,0.9553903345724907,0.516728624535316,0.5724907063197026,0.8475836431226765,0.9442379182156134,0.5315985130111525,67.73,cell_key,67,75.46,False,LOW,214.0,3631414.0,40988.0,41.0
ECI:1079839.0,37,2,25.716808,9.9046016,33.692610283783786,18.91891891891892,18.91891891891892,8.108108108108109,5.661753999999998,17.776861999999998,-99.65625,-11.692806,5.0333343,7.0,12.0,8.533654,10.889488,88.0,0.29223645454545455,-17.5965417,177.50263095,37,0.7472118959107806,0.49070631970260226,0.46096654275092935,0.2936802973977695,0.8736059479553904,0.9089219330855018,0.7360594795539034,0.9479553903345725,0.8066914498141264,0.6840148698884758,67.15,cell_key,68,75.09,False,LOW,496.0,1079839.0,1850.0,3.0
ECI:1079183.0,45,4,31.611128,13.568009200000002,35.57621971111111,8.88888888888889,24.444444444444443,24.444444444444443,26.960655000000003,64.77592600000001,-93.388954,-11.985436,8.51333,8.0,13.0,8.323133,13.399337599999999,177.0,0.221796821192053,-17.6184802,177.4497495,45,0.654275092936803,0.3940520446096654,0.6133828996282528,0.7472118959107806,0.7397769516728625,0.8773234200743495,0.6728624535315985,0.7843866171003717,0.8513011152416357,0.4052044609665427,66.6,cell_key,71,73.98,False,LOW,383.0,1079183.0,41384.0,41.0
ECI:1079245.0,57,1,18.240393,9.683686400000001,18.09647645964912,12.280701754385964,24.561403508771928,19.298245614035086,12.256475749999996,28.395989049999997,-88.11768,-9.91199,9.487502,8.0,17.0,8.92495,13.14407,113.0,0.18377973873873873,-17.62715132,177.4456851,57,0.8178438661710037,0.5092936802973977,0.6226765799256505,0.4646840148698885,0.7397769516728625,0.6449814126394052,0.8327137546468402,0.7026022304832714,0.4163568773234201,0.21189591078066913,66.49,cell_key,72,73.61,False,LOW,385.0,1079245.0,356.0,1.0
ECI:1073460.0,35,2,18.763592,6.265780800000002,19.582332528571428,14.285714285714285,22.857142857142858,22.857142857142858,21.687168,45.05304325000001,-107.40497,-11.098214,10.867502,9.0,16.0,3.7383177,7.6579885,96.0,0.17931665934065935,-17.77596319,177.4762635,35,0.8066914498141264,0.6319702602230484,0.587360594795539,0.6394052044609665,0.5892193308550185,0.7118959107806692,0.241635687732342,0.6245353159851301,0.6988847583643123,0.9107806691449815,64.15,cell_key,75,72.49,False,LOW,82.0,1073460.0,41186.0,41.0
ECI:1075733.0,42,2,23.357864499999998,9.909019200000003,25.619519,11.904761904761903,19.047619047619047,14.285714285714285,37.8563015,68.90058359999999,-103.85746,-9.691322,10.276555,9.0,19.5,7.9823854999999995,11.987000199999999,98.5,0.2714717635189669,-17.6539115,177.406492045,42,0.7695167286245354,0.48698884758364314,0.4646840148698885,0.8698884758364313,0.5892193308550185,0.4275092936802974,0.6171003717472119,0.6505576208178439,0.35687732342007433,0.828996282527881,62.29,cell_key,83,69.52,False,LOW,159.0,1075733.0,500.0,1.0
ECI:3635989.0,41,2,48.413128,25.364496,50.76850943902439,2.4390243902439024,21.951219512195124,21.951219512195124,35.01568500000001,64.17454800000002,-91.998245,-15.885938,6.8933325,7.0,17.0,10.672853,12.947831,124.0,0.40119327433628316,-17.6252773,177.46107113,41,0.42379182156133827,0.21933085501858737,0.5613382899628253,0.8438661710037175,0.8736059479553904,0.6449814126394052,0.9479553903345725,0.8773234200743495,0.9925650557620818,0.3345724907063197,62.24,cell_key,84,69.14,False,LOW,231.0,3635989.0,500.0,1.0
ECI:1071676.0,46,2,25.8558485,0.121168,23.773081586956522,19.565217391304348,19.565217391304348,8.695652173913043,12.278487499999999,43.56593050000001,-102.2764,-11.1493275,11.370878999999999,9.0,16.0,3.0664398,4.8793565,75.5,0.3248650974602203,-17.806615035,177.43122889,46,0.7434944237918215,0.9702602230483272,0.483271375464684,0.4684014869888476,0.5892193308550185,0.7118959107806692,0.13382899628252787,0.5799256505576208,0.7026022304832714,0.7843866171003717,61.98,cell_key,85,68.77,False,LOW,393.0,1071676.0,40790.0,41.0
ECI:1066049.0,30,2,39.425833,9.4632512,42.6070945,13.333333333333334,16.666666666666664,16.666666666666664,-1.4505290000000013,22.123906800000004,-106.47262,-11.946061499999999,5.2922845,6.0,12.0,9.501391000000002,14.590985050000002,150.5,0.23788166986585235,-17.762165935,177.443574785,30,0.5315985130111525,0.516728624535316,0.3736059479553903,0.10780669144981413,0.9553903345724907,0.9089219330855018,0.8884758364312267,0.929368029739777,0.8438661710037175,0.8884758364312267,61.86,cell_key,86,68.4,False,LOW,125.0,1066049.0,40988.0,41.0
