model,split,fold,rows,mae_mbps,rmse_mbps,r2_mbps,mae_log,rmse_log,r2_log,pinball_loss_log,empirical_coverage,coverage_error_from_target
GradientBoosting_resource_conditioned_Q75_calibrated,fold_validation,5,6461,13.560375226937039,19.786010575513448,0.8155787590854878,0.3682732869345863,0.5389349885687191,0.8033122629778494,0.11101024234461519,0.7488004952793685,-0.0011995047206314613
HGB_strict_causal_temporal_Q50,fold_reference_train,1,25412,7.009197192230995,10.699116870509425,0.9450472445012484,0.1662047697568888,0.22419950976645958,0.963531579275816,,,
HGB_strict_causal_temporal_Q50,fold_validation,1,6445,8.195095431737924,12.516263987070554,0.9140110990648872,0.22634785380271588,0.33573136955783855,0.9220386677426728,,,
HGB_strict_causal_temporal_Q50,fold_reference_train,2,25418,7.045560315354786,10.727449579632328,0.945174496763664,0.16826949995115975,0.227471497647539,0.9626593825485363,,,
HGB_strict_causal_temporal_Q50,fold_validation,2,6445,8.091994661135754,12.232744861692883,0.9151502898310877,0.21866290963679935,0.32442234729180436,0.9265589473730032,,,
HGB_strict_causal_temporal_Q50,fold_reference_train,3,25426,7.009243705569764,10.713355734246765,0.9446046206556606,0.16746907923131074,0.22667748313577354,0.9625227798344043,,,
HGB_strict_causal_temporal_Q50,fold_validation,3,6443,8.306051617491844,12.845380400266123,0.9119833513690663,0.2230987269696728,0.32523484082872567,0.9289753599855426,,,
HGB_strict_causal_temporal_Q50,fold_reference_train,4,25414,6.838247179374967,10.34693540090199,0.9434696359626296,0.16902953477679242,0.2285166911760227,0.9629839750213677,,,
HGB_strict_causal_temporal_Q50,fold_validation,4,6444,9.012173074493088,13.94523112622416,0.9234489860018894,0.21807038229034234,0.32288140371319246,0.9208816338233147,,,
HGB_strict_causal_temporal_Q50,fold_reference_train,5,25401,6.968089368355542,10.632527850075741,0.9437351615680039,0.16667668087903018,0.22572418923898663,0.9629184569579898,,,
HGB_strict_causal_temporal_Q50,fold_validation,5,6461,8.468190654379095,12.833142590616198,0.9224180831359351,0.2258342991385803,0.32201798838664836,0.9297793589753478,,,
