model,split,fold,rows,mae_mbps,rmse_mbps,r2_mbps,mae_log,rmse_log,r2_log,pinball_loss_log,empirical_coverage,coverage_error_from_target
GradientBoosting_resource_conditioned_Q75_calibrated,fold_validation,1,6445,13.750477104272326,20.11232662703129,0.8093888645450111,0.36342577049109037,0.5330052970975426,0.8047016924414829,0.10725279960159666,0.7807602792862685,0.030760279286268455
GradientBoosting_resource_conditioned_Q75_calibrated,fold_reference_train,2,25413,12.46857859970302,18.210914935644094,0.8403366087797944,0.32317366730580566,0.4606134734367602,0.846138404869258,0.09544661338019832,0.7831818360681541,0.03318183606815406
GradientBoosting_resource_conditioned_Q75_calibrated,fold_validation,2,6445,11.912218614485734,18.156022665727743,0.822031785673172,0.32483710920494135,0.4851358446562189,0.836160478923937,0.10417147897783226,0.7067494181536075,-0.04325058184639252
GradientBoosting_resource_conditioned_Q75_calibrated,fold_reference_train,3,25420,12.358459481567362,18.178654351507628,0.8313902249871947,0.32476761357627476,0.4616955027498694,0.8506446876479465,0.09560249361646979,0.7866640440597954,0.0366640440597954
GradientBoosting_resource_conditioned_Q75_calibrated,fold_validation,3,6443,13.364079016735351,18.864308585569542,0.8450447319870813,0.335345717586166,0.4943953383118436,0.8053762317123843,0.10201487771953384,0.7525997206270371,0.002599720627037061
GradientBoosting_resource_conditioned_Q75_calibrated,fold_reference_train,4,25421,12.191670518359686,17.96429832773569,0.8418555631901137,0.3130785122122477,0.44814037509241383,0.850083503806363,0.0929502701645049,0.7788049250619566,0.028804925061956643
GradientBoosting_resource_conditioned_Q75_calibrated,fold_validation,4,6444,13.88717042711959,20.007839308256898,0.7994968980090336,0.3950606391096189,0.5771574226297478,0.7935408205156376,0.11557345907296153,0.7804158907510863,0.030415890751086305
GradientBoosting_resource_conditioned_Q75_calibrated,fold_reference_train,5,25399,12.293058762637472,18.01445521618994,0.8432651118921366,0.3135009460132984,0.44759370722450903,0.8561561155012822,0.09278779938484605,0.7788495610063388,0.028849561006338842
GradientBoosting_resource_conditioned_Q75_calibrated,fold_validation,5,6461,13.796363746392146,20.363907597631954,0.7779227130546975,0.37502105379899814,0.5436352927064323,0.7881266948147093,0.10925760202148434,0.7935304132487231,0.04353041324872309
HGB_strict_causal_temporal_Q50,fold_reference_train,1,25419,6.925045394523103,10.549177924105777,0.9446274241218355,0.1671425924966911,0.2261282649200793,0.9628690830024005,,,
HGB_strict_causal_temporal_Q50,fold_validation,1,6445,8.504328524050683,13.020096206711377,0.9201174300840752,0.22351970308773508,0.33373037137170325,0.923435598339172,,,
HGB_strict_causal_temporal_Q50,fold_reference_train,2,25413,7.033737415600951,10.697205055101188,0.9449087711633607,0.16850142520311945,0.22769290309838772,0.9624027617368383,,,
HGB_strict_causal_temporal_Q50,fold_validation,2,6445,8.451389884835876,13.30080609379384,0.9044882209154342,0.22004599831233193,0.31837367867193817,0.9294387520949972,,,
HGB_strict_causal_temporal_Q50,fold_reference_train,3,25420,6.848652429409164,10.425046391259846,0.9445482473587172,0.1681041425219014,0.22689729850853976,0.9639281815746487,,,
HGB_strict_causal_temporal_Q50,fold_validation,3,6443,8.973236137645888,13.77346338375597,0.9173941358084841,0.21425168268021932,0.31349705834322616,0.9217446419341402,,,
HGB_strict_causal_temporal_Q50,fold_reference_train,4,25421,6.990915875918006,10.716152398691621,0.9437255623020696,0.16554445166528606,0.22453931419998802,0.9623637746247129,,,
HGB_strict_causal_temporal_Q50,fold_validation,4,6444,8.482140695173573,12.648357847707935,0.919871132833904,0.23573072391170014,0.34583713421020745,0.9258708750064703,,,
HGB_strict_causal_temporal_Q50,fold_reference_train,5,25399,7.052726497295927,10.729752518344178,0.9443964112664328,0.166629487500752,0.22541216000671782,0.9635180419399253,,,
HGB_strict_causal_temporal_Q50,fold_validation,5,6461,7.975376205661654,12.039559871467057,0.922374729025448,0.22828113085945692,0.3307339833301629,0.9215814878693956,,,
