column,dtype,non_null,missing_pct,description
rb_high_usage_threshold,float64,6217,0.0,RCA handoff / anomaly evidence column
rb_low_usage_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
rb_medium_or_high_usage_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
rb_high_usage_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
throughput_per_rb,float64,6217,0.0,RCA handoff / anomaly evidence column
rb_efficiency_p10_threshold,float64,6217,0.0,RCA handoff / anomaly evidence column
low_rb_efficiency_high_rb_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
rb_efficiency_family_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
low_tp_low_rb_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
p75_demand_confirmed_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
p75_underperformance_demand_unknown_context_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
score_low_rb_cap_applied_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
catastrophic_score_allowed_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
carrier_count,float64,6217,0.0,RCA handoff / anomaly evidence column
ca_condition_label,object,6217,0.0,RCA handoff / anomaly evidence column
scell1_rsrp,float64,4203,32.395,RCA handoff / anomaly evidence column
scell1_rsrq,float64,4200,32.443,RCA handoff / anomaly evidence column
scell1_sinr,float64,4203,32.395,RCA handoff / anomaly evidence column
scell1_cqi,float64,4013,35.451,RCA handoff / anomaly evidence column
scell1_mcs,float64,3652,41.258,RCA handoff / anomaly evidence column
scell1_bler,float64,3653,41.242,RCA handoff / anomaly evidence column
scell1_rb_count,float64,3653,41.242,RCA handoff / anomaly evidence column
neighbor_count,int64,6217,0.0,RCA handoff / anomaly evidence column
best_neighbor_rsrp,float64,6198,0.306,RCA handoff / anomaly evidence column
strong_neighbor_count,int64,6217,0.0,RCA handoff / anomaly evidence column
serving_minus_best_neighbor_rsrp,float64,6198,0.306,RCA handoff / anomaly evidence column
poor_rsrp_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
poor_rsrq_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
poor_sinr_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
high_bler_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
low_cqi_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
low_rb_allocation_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
low_tp_fixed_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
low_tp_global_p10_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
low_tp_session_p10_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
low_tp_robust_z_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
low_tp_iqr_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
rolling_drop_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
rolling_bad_window_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
rolling_sustained_degradation_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
bad_session_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
bad_session_sample_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
sudden_drop_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
underperform_vs_p75_context_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
underperform_vs_p75_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
unexpected_underperformance_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
radio_limited_degradation_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
ca_active_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
ca_underperformance_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
event_related_degradation_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
rach_failure_direct_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
rach_result,object,4613,25.8,RCA handoff / anomaly evidence column
rach_reason,object,4613,25.8,RCA handoff / anomaly evidence column
rach_latency,float64,4608,25.881,RCA handoff / anomaly evidence column
any_event_count_pm30s,int64,6217,0.0,RCA handoff / anomaly evidence column
near_any_event_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
measurement_report_event_count_pm5s,int64,6217,0.0,RCA handoff / anomaly evidence column
near_measurement_report_event_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
handover_execution_count_pm5s,int64,6217,0.0,RCA handoff / anomaly evidence column
near_handover_execution_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
handover_failure_count_pm10s,int64,6217,0.0,RCA handoff / anomaly evidence column
near_handover_failure_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
rach_attempt_count_pm10s,int64,6217,0.0,RCA handoff / anomaly evidence column
near_rach_attempt_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
rach_failure_count_pm10s,int64,6217,0.0,RCA handoff / anomaly evidence column
near_rach_failure_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
ca_activation_change_count_pm10s,int64,6217,0.0,RCA handoff / anomaly evidence column
near_ca_activation_change_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
failure_other_count_pm10s,int64,6217,0.0,RCA handoff / anomaly evidence column
near_failure_other_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
low_tp_family_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
temporal_drop_family_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_family_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
score_fixed_low_tp,float64,6217,0.0,RCA handoff / anomaly evidence column
score_global_p10_low_tp,float64,6217,0.0,RCA handoff / anomaly evidence column
score_session_p10_low_tp,float64,6217,0.0,RCA handoff / anomaly evidence column
score_robust_z_low_tp,float64,6217,0.0,RCA handoff / anomaly evidence column
score_iqr_low_tp,float64,6217,0.0,RCA handoff / anomaly evidence column
score_rolling_drop,float64,6217,0.0,RCA handoff / anomaly evidence column
score_rolling_bad_window,float64,6217,0.0,RCA handoff / anomaly evidence column
score_bad_session,float64,6217,0.0,RCA handoff / anomaly evidence column
score_sudden_drop,float64,6217,0.0,RCA handoff / anomaly evidence column
score_group_p75_gap,float64,6217,0.0,RCA handoff / anomaly evidence column
score_group_rb_p75_gap,float64,6217,0.0,RCA handoff / anomaly evidence column
score_rb_efficiency,float64,6217,0.0,RCA handoff / anomaly evidence column
score_magnitude_ratio_severity,float64,6217,0.0,RCA handoff / anomaly evidence column
score_magnitude_gap_severity,float64,6217,0.0,RCA handoff / anomaly evidence column
score_magnitude_low_tp_severity,float64,6217,0.0,RCA handoff / anomaly evidence column
score_magnitude_drop_severity,float64,6217,0.0,RCA handoff / anomaly evidence column
score_magnitude_rb_efficiency,float64,6217,0.0,RCA handoff / anomaly evidence column
score_raw_before_caps,float64,6217,0.0,RCA handoff / anomaly evidence column
anomaly_score_raw_0_100,float64,6217,0.0,RCA handoff / anomaly evidence column
score_after_low_rb_cap,float64,6217,0.0,RCA handoff / anomaly evidence column
rca_status,object,6217,0.0,RCA handoff / anomaly evidence column
rca_decision_placeholder,object,6217,0.0,RCA handoff / anomaly evidence column
