anomaly_episode_id,id,route_label,test_type,start_time,end_time,rows,dominant_type,max_score,mean_score,min_actual_tp,median_actual_tp,median_expected_tp,median_expected_radio_p75,median_expected_rb_conditioned_p75,expected_radio_confidence_mode,expected_rb_confidence_mode,min_ratio,min_rb_ratio,median_rb_usage,rb_usage_bucket_mode,rb_demand_confidence_mode,median_throughput_per_rb,primary_serving_pci,primary_earfcn,primary_band,mean_rsrp,mean_sinr,serving_pci_count,duration_seconds,any_event_near_rows,any_event_near_rows_pct,any_event_event_count_sum,measurement_report_event_near_rows,measurement_report_event_near_rows_pct,measurement_report_event_event_count_sum,handover_execution_near_rows,handover_execution_near_rows_pct,handover_execution_event_count_sum,handover_failure_near_rows,handover_failure_near_rows_pct,handover_failure_event_count_sum,rach_attempt_near_rows,rach_attempt_near_rows_pct,rach_attempt_event_count_sum,rach_failure_near_rows,rach_failure_near_rows_pct,rach_failure_event_count_sum,ca_activation_change_near_rows,ca_activation_change_near_rows_pct,ca_activation_change_event_count_sum,failure_other_near_rows,failure_other_near_rows_pct,failure_other_event_count_sum,max_speed,min_distance_from_prev_m,max_distance_from_prev_m,max_severity
LTE-TP-EP-002074,542020041221088+20250828121742+Fiji-Nadi-LTE-DL-D!20250828115919,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 01:57:47+02:00,2025-08-28 01:57:47+02:00,1,sudden_drop,50.0,50.0,22.228,22.228,33.437,33.437,23.22,high,high,0.665,0.957,62.0,low_rb_usage,low_or_uncertain,0.359,183.0,41384.0,41.0,-90.921,11.516,1,0.0,1,100.0,16,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3.599,3.481,3.481,Medium
LTE-TP-EP-002085,542020041221088+20250828121742+Fiji-Nadi-LTE-DL-D!20250828115919,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 01:58:55+02:00,2025-08-28 01:58:55+02:00,1,rolling_local_drop,50.0,50.0,11.655,11.655,43.58,43.58,31.353,high,high,0.267,0.372,57.0,low_rb_usage,low_or_uncertain,0.204,184.0,41384.0,41.0,-89.717,19.007,1,0.0,1,100.0,44,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,100.0,7,1.237,1.199,1.199,Medium
LTE-TP-EP-002091,542020041221088+20250828121902+Fiji-Nadi-LTE-DL-D!20250828120130,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 01:59:44+02:00,2025-08-28 01:59:44+02:00,1,sudden_drop,50.0,50.0,18.197,18.197,35.428,35.428,27.882,high,high,0.514,0.653,54.0,low_rb_usage,low_or_uncertain,0.337,183.0,41384.0,41.0,-79.486,13.314,1,0.0,1,100.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.005,0.0,0.0,Medium
LTE-TP-EP-002092,542020041221088+20250828121902+Fiji-Nadi-LTE-DL-D!20250828120130,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 01:59:56+02:00,2025-08-28 01:59:56+02:00,1,sudden_drop,50.0,50.0,17.918,17.918,43.58,43.58,31.353,high,high,0.411,0.572,53.0,low_rb_usage,low_or_uncertain,0.338,183.0,41384.0,41.0,-79.144,16.658,1,0.0,1,100.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.011,0.015,0.015,Medium
LTE-TP-EP-002095,542020041221088+20250828121902+Fiji-Nadi-LTE-DL-D!20250828120130,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 02:00:14+02:00,2025-08-28 02:00:14+02:00,1,sudden_drop,50.0,50.0,22.634,22.634,43.58,43.58,31.353,high,high,0.519,0.722,58.0,low_rb_usage,low_or_uncertain,0.39,183.0,41384.0,41.0,-79.171,16.619,1,0.0,1,100.0,4,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4.833,4.65,4.65,Medium
LTE-TP-EP-002099,542020041221088+20250828121902+Fiji-Nadi-LTE-DL-D!20250828120130,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 02:00:34+02:00,2025-08-28 02:00:34+02:00,1,sudden_drop,50.0,50.0,21.825,21.825,43.58,43.58,31.353,high,high,0.501,0.696,66.0,low_rb_usage,low_or_uncertain,0.331,183.0,41384.0,41.0,-74.602,21.27,1,0.0,1,100.0,5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,11.088,0.135,0.135,Medium
LTE-TP-EP-002101,542020041221088+20250828121902+Fiji-Nadi-LTE-DL-D!20250828120130,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 02:00:42+02:00,2025-08-28 02:00:42+02:00,1,sudden_drop,50.0,50.0,19.57,19.57,43.58,43.58,31.353,high,high,0.449,0.624,47.0,low_rb_usage,low_or_uncertain,0.416,183.0,41384.0,41.0,-78.553,19.997,1,0.0,1,100.0,5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.992,2.692,2.692,Medium
LTE-TP-EP-002105,542020041221088+20250828121902+Fiji-Nadi-LTE-DL-D!20250828120130,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 02:01:06+02:00,2025-08-28 02:01:06+02:00,1,sudden_drop,50.0,50.0,22.542,22.542,43.58,43.58,31.353,high,high,0.517,0.719,68.0,low_rb_usage,low_or_uncertain,0.332,183.0,41384.0,41.0,-81.748,18.216,1,0.0,1,100.0,5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,Medium
LTE-TP-EP-002110,542020041221088+20250828122022+Fiji-Nadi-LTE-DL-D!20250828120340,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 02:02:01+02:00,2025-08-28 02:02:01+02:00,1,sudden_drop,50.0,50.0,14.231,14.231,43.58,43.58,31.353,high,high,0.327,0.454,51.0,low_rb_usage,low_or_uncertain,0.279,183.0,41384.0,41.0,-86.033,16.849,1,0.0,1,100.0,20,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7.596,0.22,0.22,Medium
LTE-TP-EP-002113,542020041221088+20250828122022+Fiji-Nadi-LTE-DL-D!20250828120340,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 02:02:21+02:00,2025-08-28 02:02:21+02:00,1,sudden_drop,50.0,50.0,12.857,12.857,35.428,35.428,27.882,high,high,0.363,0.461,61.0,low_rb_usage,low_or_uncertain,0.211,183.0,41384.0,41.0,-88.073,12.973,1,0.0,1,100.0,8,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4.274,4.069,4.069,Medium
