operational_incident_id,id,route_label,start_time,end_time,strict_episodes,rows,max_priority,mean_priority,max_impact,max_confidence,consensus_rows,statistical_only_rows,ml_only_rows,dominant_statistical_type,dominant_ml_type,primary_serving_pci,duration_seconds
INC-001016,542020041221088+20250828140337+Fiji-Nadi-LTE-DL-D!20250828140209,Fiji-Nadi-LTE-DL-D,2025-08-28 04:00:10+02:00,2025-08-28 04:00:11+02:00,1,2,56.58,56.58,53.59,60.23,0,2,0,rolling_local_drop,normal,183.0,1.0
INC-000732,542020041221088+20250828114952+Fiji-Nadi-LTE-DL-D!20250828112430,Fiji-Nadi-LTE-DL-D,2025-08-28 01:22:28+02:00,2025-08-28 01:22:28+02:00,1,1,56.52,56.52,55.04,58.33,0,1,0,radio_limited_degradation,normal,373.0,0.0
INC-000759,542020041221088+20250828121041+Fiji-Nadi-LTE-DL-D!20250828114409,Fiji-Nadi-LTE-DL-D,2025-08-28 01:43:27+02:00,2025-08-28 01:43:27+02:00,1,1,56.51,56.51,56.29,56.79,0,1,0,rb_conditioned_underperformance,normal,139.0,0.0
INC-000216,542020041221088+20250827122836+Fiji-Nadi-LTE-DL-D!20250827113757,Fiji-Nadi-LTE-DL-D,2025-08-27 01:36:49+02:00,2025-08-27 01:36:50+02:00,1,2,56.5,56.5,52.06,61.93,0,2,0,rolling_local_drop,normal,403.0,1.0
INC-000846,542020041221088+20250828124503+Fiji-Nadi-LTE-DL-D!20250828124436,Fiji-Nadi-LTE-DL-D,2025-08-28 02:44:13+02:00,2025-08-28 02:44:13+02:00,1,1,56.5,56.5,57.08,55.8,0,1,0,radio_limited_degradation,normal,315.0,0.0
INC-000979,542020041221088+20250828134436+Fiji-Nadi-LTE-DL-D!20250828133934,Fiji-Nadi-LTE-DL-D,2025-08-28 03:37:52+02:00,2025-08-28 03:37:57+02:00,2,5,56.46,54.745000000000005,66.8,43.83,0,5,0,radio_limited_degradation,normal,231.0,5.0
INC-000431,542020041221088+20250827135949+Fiji-Nadi-LTE-DL-D!20250827134144,Fiji-Nadi-LTE-DL-D,2025-08-27 03:40:57+02:00,2025-08-27 03:40:57+02:00,1,1,56.43,56.43,46.68,68.35,0,1,0,rb_conditioned_underperformance,normal,135.0,0.0
INC-000091,542020041221088+20250827104126+Fiji-Nadi-LTE-DL-D!20250827104054,Fiji-Nadi-LTE-DL-D,2025-08-27 00:40:25+02:00,2025-08-27 00:40:26+02:00,1,2,56.42,56.42,57.6,54.97,0,2,0,rolling_local_drop,normal,395.0,1.0
INC-000771,542020041221088+20250828121902+Fiji-Nadi-LTE-DL-D!20250828120130,Fiji-Nadi-LTE-DL-D,2025-08-28 02:01:27+02:00,2025-08-28 02:01:28+02:00,1,2,56.41,56.41,60.08,51.93,0,2,0,rolling_local_drop,normal,183.0,1.0
INC-000319,542020041221088+20250827132825+Fiji-Nadi-LTE-DL-D!20250827122826,Fiji-Nadi-LTE-DL-D,2025-08-27 02:26:56+02:00,2025-08-27 02:26:56+02:00,1,1,56.4,56.4,49.61,64.7,0,1,0,sudden_drop,normal,149.0,0.0
INC-000221,542020041221088+20250827123136+Fiji-Nadi-LTE-DL-D!20250827114007,Fiji-Nadi-LTE-DL-D,2025-08-27 01:38:11+02:00,2025-08-27 01:38:13+02:00,1,3,56.33,56.33,55.34,57.53,0,3,0,rb_conditioned_underperformance,normal,133.0,2.0
INC-000281,542020041221088+20250827131523+Fiji-Nadi-LTE-DL-D!20250827120845,Fiji-Nadi-LTE-DL-D,2025-08-27 02:07:31+02:00,2025-08-27 02:07:31+02:00,1,1,56.33,56.33,61.88,49.55,0,1,0,radio_limited_degradation,normal,138.0,0.0
INC-000594,542020041221088+20250827155853+Fiji-Nadi-LTE-DL-D!20250827154409,Fiji-Nadi-LTE-DL-D,2025-08-27 05:43:29+02:00,2025-08-27 05:43:31+02:00,1,3,56.29,56.29,54.13,58.93,0,3,0,rb_conditioned_underperformance,normal,50.0,2.0
INC-000691,542020041221088+20250828105207+Fiji-Nadi-LTE-DL-D!20250828105141,Fiji-Nadi-LTE-DL-D,2025-08-28 00:49:53+02:00,2025-08-28 00:49:53+02:00,1,1,56.24,56.24,58.15,53.92,0,1,0,sudden_drop,normal,163.0,0.0
INC-000757,542020041221088+20250828121041+Fiji-Nadi-LTE-DL-D!20250828114409,Fiji-Nadi-LTE-DL-D,2025-08-28 01:42:59+02:00,2025-08-28 01:42:59+02:00,1,1,56.23,56.23,56.94,55.35,0,1,0,rb_conditioned_underperformance,normal,139.0,0.0
