sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket,expected_tp_p75,expected_tp_median,expected_tp_mean,expected_tp_group_n,expected_tp_p75_ci_low,expected_tp_p75_ci_high,expected_tp_p75_ci_width,fallback_level,group_cols,reference_scope,reference_name
Fair,Fair,2.0,41,40988,low_rb_usage,13.747488,5.226312,8.392045158253968,63,7.3400234,21.260404612499997,13.920381212499997,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,40988,medium_rb_usage,38.595138500000004,20.999855,25.23840001092437,119,33.263554912500005,42.59918089999999,9.335625987499988,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,41186,below_median_rb_usage,29.08816475,17.4956285,19.32458581363636,66,23.06711549375,31.48369925,8.416583756250002,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,41186,high_rb_usage,52.0317035,36.41293,38.343335638036805,163,44.310392900000004,57.3087292875,12.998336387499997,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,41186,low_rb_usage,7.437716,3.393384,5.293146252957746,71,4.9625772999999995,11.071618599999994,6.109041299999994,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,41186,medium_rb_usage,43.281736,26.0780365,29.456172492957744,142,39.03561595,48.42393765,9.388321699999999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,41384,below_median_rb_usage,28.73784175,19.2949075,19.781164574590164,122,25.016332775,32.36998244375,7.353649668749998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,41384,high_rb_usage,47.599007,36.288303,36.586458063424125,257,45.861281500000004,50.424168,4.562886499999998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,41384,low_rb_usage,11.633248,5.786632,7.4264163528,125,8.507682,13.403890799999989,4.896208799999988,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,41384,medium_rb_usage,37.924175,24.280497,26.327298997630333,211,33.5576087875,44.302441912499994,10.744833124999992,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
