id,timestamp,id_route_test_label,id_test_type,Activity.Activity,Activity.Duration,Activity.End TimeStamp,Activity.Power,Activity.Quality,Activity.SINR,Activity.Start TimeStamp,Activity.Status,Activity.Tech,Activity.Throughput,Activity.Start TimeStamp_parsed,Activity.End TimeStamp_parsed
542020041221088+20250825145646+Fiji-Nadi-MO-D!20250825131926,2025-08-25 03:19:15+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,104131.0,2025-08-25T03:19:15.666000+02:00,-76.91,-10.04,9.29,2025-08-25T03:17:31.535000+02:00,Success,HSPA+,64.0,2025-08-25 03:17:31.535000+02:00,2025-08-25 03:19:15.666000+02:00
542020041221088+20250825145726+Fiji-Nadi-MO-D!20250825132131,2025-08-25 03:21:20+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,105175.0,2025-08-25T03:21:20.978000+02:00,-77.39,-8.48,5.12,2025-08-25T03:19:35.804000+02:00,Success,HSPA+,32.0,2025-08-25 03:19:35.804000+02:00,2025-08-25 03:21:20.978000+02:00
542020041221088+20250825145746+Fiji-Nadi-MO-D!20250825132336,2025-08-25 03:23:25+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,104233.0,2025-08-25T03:23:25.619000+02:00,-78.64,-10.67,4.65,2025-08-25T03:21:41.387000+02:00,Success,HSPA+,72.0,2025-08-25 03:21:41.387000+02:00,2025-08-25 03:23:25.619000+02:00
542020041221088+20250825145826+Fiji-Nadi-MO-D!20250825132543,2025-08-25 03:25:32+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,107170.0,2025-08-25T03:25:32.870000+02:00,-87.48,-11.98,7.46,2025-08-25T03:23:45.700000+02:00,Success,HSPA+,64.0,2025-08-25 03:23:45.700000+02:00,2025-08-25 03:25:32.870000+02:00
542020041221088+20250825150408+Fiji-Nadi-MO-D!20250825132748,2025-08-25 03:27:37+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,104152.0,2025-08-25T03:27:37.127000+02:00,-88.78,-2.04,4.05,2025-08-25T03:25:52.976000+02:00,Success,HSPA+,32.0,2025-08-25 03:25:52.976000+02:00,2025-08-25 03:27:37.127000+02:00
542020041221088+20250825152338+Fiji-Nadi-MO-D!20250825132951,2025-08-25 03:29:40+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,103163.0,2025-08-25T03:29:40.331000+02:00,-86.95,-0.73,5.78,2025-08-25T03:27:57.168000+02:00,Success,HSPA+,8.0,2025-08-25 03:27:57.168000+02:00,2025-08-25 03:29:40.331000+02:00
542020041221088+20250825152359+Fiji-Nadi-MO-D!20250825133147,2025-08-25 03:31:36+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,96194.0,2025-08-25T03:31:36.290000+02:00,-86.01,-8.36,7.95,2025-08-25T03:30:00.097000+02:00,Success,HSPA+,328.0,2025-08-25 03:30:00.097000+02:00,2025-08-25 03:31:36.290000+02:00
542020041221088+20250825152419+Fiji-Nadi-MO-D!20250825133349,2025-08-25 03:33:38+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,102136.0,2025-08-25T03:33:38.975000+02:00,-72.51,-8.48,10.18,2025-08-25T03:31:56.839000+02:00,Success,HSPA+,72.0,2025-08-25 03:31:56.839000+02:00,2025-08-25 03:33:38.975000+02:00
542020041221088+20250825152439+Fiji-Nadi-MO-D!20250825133556,2025-08-25 03:35:45+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,106219.0,2025-08-25T03:35:45.265000+02:00,-69.08,-9.52,8.7,2025-08-25T03:33:59.047000+02:00,Success,HSPA+,80.0,2025-08-25 03:33:59.047000+02:00,2025-08-25 03:35:45.265000+02:00
542020041221088+20250825152459+Fiji-Nadi-MO-D!20250825133801,2025-08-25 03:37:50+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,105218.0,2025-08-25T03:37:50.558000+02:00,-69.41,-5.92,13.23,2025-08-25T03:36:05.340000+02:00,Success,HSPA+,64.0,2025-08-25 03:36:05.340000+02:00,2025-08-25 03:37:50.558000+02:00
