serving_cell_key,rows,sessions,median_tp_mbps,p10_tp_mbps,mean_tp_mbps,low_tp_pct,stat_anomaly_pct,rca_handoff_pct,median_p75_gap_mbps,p90_p75_gap_mbps,median_rsrp_dbm,median_rsrq_db,median_sinr_db,median_cqi,median_mcs,median_bler_pct,p90_bler_pct,median_rb_usage,median_tp_per_rb,median_tp_badness,p10_tp_badness,anomaly_rate_badness,p75_gap_badness,cqi_badness,mcs_badness,bler_badness,sinr_badness,rsrq_badness,rsrp_badness,bad_entity_score_0_100,entity_label,bad_entity_rank,bad_entity_percentile,bad_entity_candidate_flag,rank_reliability,serving_pci,serving_eci,serving_earfcn,serving_band
ECI:1067152.0,84,2,28.23748,0.0351216,25.719828190452382,26.190476190476193,27.380952380952383,16.666666666666664,-1.329073499999998,18.1595646,-111.82329,-12.297926,5.5020185,6.0,13.0,9.586003,15.3883689,96.0,0.2509222615755032,0.724907063197026,0.9739776951672863,0.6765799256505576,0.11152416356877323,0.9553903345724907,0.8773234200743495,0.9033457249070632,0.9219330855018587,0.8773234200743495,0.9851301115241635,76.34,cell_key,33,88.1,False,MEDIUM,340.0,1067152.0,41384.0,41.0
ECI:1065012.0,33,2,14.919544,1.6842720000000002,15.903036090909092,33.33333333333333,39.39393939393939,27.27272727272727,19.979304000000003,49.29964875,-108.773026,-11.286407,8.950002,7.0,15.0,4.2352943,10.882092400000001,87.0,0.16091844604316546,0.8736059479553904,0.8475836431226765,0.8438661710037175,0.5985130111524164,0.8736059479553904,0.775092936802974,0.31226765799256506,0.7286245353159851,0.7286245353159851,0.9405204460966543,76.19,cell_key,34,87.73,False,LOW,469.0,1065012.0,41186.0,41.0
ECI:1076279.0,97,3,15.498872,4.6077328,17.566882915463918,35.051546391752574,46.391752577319586,29.896907216494846,29.777895,67.79471930000001,-103.68619,-11.442307,9.446671,8.0,15.0,4.7115383,10.251461800000001,119.0,0.1479336,0.862453531598513,0.7063197026022305,0.8996282527881041,0.7695167286245354,0.7397769516728625,0.775092936802974,0.3828996282527881,0.7100371747211895,0.7695167286245354,0.8215613382899628,75.84,cell_key,35,87.36,False,MEDIUM,179.0,1076279.0,41384.0,41.0
ECI:1069080.0,65,4,8.357544,2.5839232,11.659226499999999,55.38461538461539,55.38461538461539,43.07692307692308,3.972923999999999,38.835321900000004,-111.24687,-10.054768,8.073255,9.0,13.0,8.08668,14.5171316,45.0,0.15448615384615383,0.9442379182156134,0.7955390334572491,0.929368029739777,0.24907063197026022,0.5892193308550185,0.8773234200743495,0.620817843866171,0.8215613382899628,0.4795539033457249,0.9814126394052045,75.65,cell_key,36,86.99,False,MEDIUM,140.0,1069080.0,356.0,1.0
ECI:1076798.0,112,5,17.84618,1.2005640000000002,20.69451254375,35.714285714285715,54.46428571428571,37.5,45.474357,72.73886999999999,-92.168175,-11.9514415,7.43934655,10.0,14.0,4.146464,8.8555141,115.5,0.15400979860418745,0.8252788104089219,0.8698884758364313,0.9219330855018587,0.9144981412639405,0.44052044609665425,0.8345724907063197,0.29739776951672864,0.8550185873605948,0.8475836431226765,0.3420074349442379,75.46,cell_key,37,86.62,False,HIGH,183.0,1076798.0,40790.0,41.0
ECI:1066312.0,48,2,16.309584,0.400868,18.117074416666664,37.5,43.75,29.166666666666668,12.522691500000002,39.493616599999996,-95.4960825,-10.133935000000001,8.931451,8.0,17.5,8.461145,13.846002200000003,78.5,0.21700153983739837,0.8513011152416357,0.9256505576208178,0.8847583643122676,0.4721189591078067,0.7397769516728625,0.6059479553903345,0.7174721189591078,0.7360594795539034,0.5130111524163569,0.4795539033457249,75.46,cell_key,38,86.25,False,LOW,488.0,1066312.0,9310.0,28.0
ECI:1076541.0,77,7,15.258352,5.4526688000000005,16.36440440909091,29.87012987012987,36.36363636363637,23.376623376623375,21.748328,41.315512000000005,-108.86352,-11.332683,8.897828,8.0,12.0,5.042017,7.808501980000001,78.0,0.17512151515151517,0.8698884758364313,0.6654275092936803,0.8122676579925651,0.6468401486988847,0.7397769516728625,0.9089219330855018,0.41263940520446096,0.7397769516728625,0.7434944237918215,0.9479553903345725,74.86,cell_key,39,85.87,False,MEDIUM,182.0,1076541.0,40790.0,41.0
ECI:1076369.0,153,7,18.928007,6.5768208,19.920836233333333,23.52941176470588,26.797385620915033,19.607843137254903,8.959276000000003,28.395846500000005,-104.77589,-12.074495,5.78764,7.0,13.0,9.078014,13.811859400000005,84.0,0.19817546666666666,0.8029739776951673,0.6133828996282528,0.6617100371747212,0.3903345724907063,0.8736059479553904,0.8773234200743495,0.8550185873605948,0.9070631970260223,0.8550185873605948,0.8550185873605948,74.82,cell_key,40,85.5,False,HIGH,373.0,1076369.0,41384.0,41.0
ECI:1064757.0,126,8,15.606116,4.653855999999999,25.559643176984125,35.714285714285715,42.06349206349206,25.396825396825395,10.278008000000002,38.33637699999999,-109.511995,-11.013901,8.7605145,7.0,13.0,5.4846433,9.749994000000001,87.0,0.17200726453081233,0.8587360594795539,0.7026022304832714,0.8661710037174721,0.42379182156133827,0.8736059479553904,0.8773234200743495,0.4312267657992565,0.7546468401486989,0.6802973977695167,0.9702602230483272,74.65,cell_key,41,85.13,False,HIGH,147.0,1064757.0,41384.0,41.0
ECI:1077820.0,113,4,16.292616,3.1606016000000006,20.225222526548674,34.51327433628318,53.98230088495575,39.823008849557525,45.733184,78.5886214,-97.90453,-10.068673,10.940743,9.0,18.0,6.6037736,13.820512199999998,123.0,0.1326169090909091,0.8550185873605948,0.7806691449814126,0.9182156133828996,0.929368029739777,0.5892193308550185,0.5594795539033457,0.5130111524163569,0.620817843866171,0.48698884758364314,0.5910780669144982,74.33,cell_key,42,84.76,False,HIGH,165.0,1077820.0,40790.0,41.0
ECI:3640385.0,50,4,24.006056,3.0894792,26.47799802,36.0,38.0,30.0,36.485761999999994,67.76227965,-96.92221,-12.51476125,9.694586000000001,7.0,19.5,7.21795965,11.0481798,90.0,0.2964410476190476,0.7620817843866171,0.7843866171003717,0.8308550185873605,0.862453531598513,0.8736059479553904,0.4275092936802974,0.5464684014869888,0.6914498141263941,0.8996282527881041,0.5353159851301115,74.33,cell_key,43,84.39,False,MEDIUM,275.0,3640385.0,41384.0,41.0
ECI:1065543.0,109,3,27.299591,2.75672,25.346212933944955,33.94495412844037,35.77981651376147,21.100917431192663,68.37133700000001,117.13442900000001,-88.40399,-9.609976,13.54778,8.0,18.0,12.156167,20.2403568,88.0,0.29932045714285715,0.7323420074349443,0.79182156133829,0.7992565055762082,0.9814126394052045,0.7397769516728625,0.5594795539033457,0.9888475836431226,0.4200743494423792,0.3159851301115242,0.22304832713754646,74.01,cell_key,44,84.01,False,HIGH,132.0,1065543.0,9310.0,28.0
