id,Activity.Activity,Activity.Status,Activity.Tech,download_raw_start_utc,download_raw_end_utc,download_analysis_start_utc,download_analysis_end_utc,raw_duration_seconds,analysis_duration_seconds
542020041221088+20250827123437+Fiji-Nadi-LTE-DL-D!20250827114425,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-26 23:40:14.729000+00:00,2025-08-26 23:43:14.843000+00:00,2025-08-26 23:40:19.729000+00:00,2025-08-26 23:43:12.843000+00:00,180.114,173.114
542020041221088+20250827123517+Fiji-Nadi-LTE-DL-D!20250827114634,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-26 23:43:15.833000+00:00,2025-08-26 23:46:15.944000+00:00,2025-08-26 23:43:20.833000+00:00,2025-08-26 23:46:13.944000+00:00,180.111,173.111
542020041221088+20250827123738+Fiji-Nadi-LTE-DL-D!20250827115101,HTTP/HTTPS Download,Failed,LTE CA3,2025-08-26 23:46:16.946000+00:00,2025-08-26 23:49:17.032000+00:00,2025-08-26 23:46:21.946000+00:00,2025-08-26 23:49:15.032000+00:00,180.086,173.086
542020041221088+20250827123818+Fiji-Nadi-LTE-DL-D!20250827115313,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 23:49:18.043000+00:00,2025-08-26 23:52:18.165000+00:00,2025-08-26 23:49:23.043000+00:00,2025-08-26 23:52:16.165000+00:00,180.122,173.122
542020041221088+20250827123858+Fiji-Nadi-LTE-DL-D!20250827115524,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 23:52:19.155000+00:00,2025-08-26 23:55:19.258000+00:00,2025-08-26 23:52:24.155000+00:00,2025-08-26 23:55:17.258000+00:00,180.103,173.103
542020041221088+20250827124038+Fiji-Nadi-LTE-DL-D!20250827115945,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 23:55:20.267000+00:00,2025-08-26 23:58:20.383000+00:00,2025-08-26 23:55:25.267000+00:00,2025-08-26 23:58:18.383000+00:00,180.116,173.116
542020041221088+20250827124539+Fiji-Nadi-LTE-DL-D!20250827120159,HTTP/HTTPS Download,Failed,LTE CA3,2025-08-26 23:58:21.399000+00:00,2025-08-27 00:01:21.521000+00:00,2025-08-26 23:58:26.399000+00:00,2025-08-27 00:01:19.521000+00:00,180.122,173.122
542020041221088+20250827131523+Fiji-Nadi-LTE-DL-D!20250827120845,HTTP/HTTPS Download,Failed,LTE CA3,2025-08-27 00:04:23.636000+00:00,2025-08-27 00:07:23.733000+00:00,2025-08-27 00:04:28.636000+00:00,2025-08-27 00:07:21.733000+00:00,180.097,173.097
542020041221088+20250827131624+Fiji-Nadi-LTE-DL-D!20250827121056,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-27 00:07:24.736000+00:00,2025-08-27 00:10:24.831000+00:00,2025-08-27 00:07:29.736000+00:00,2025-08-27 00:10:22.831000+00:00,180.095,173.095
542020041221088+20250827131824+Fiji-Nadi-LTE-DL-D!20250827121518,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-27 00:10:25.851000+00:00,2025-08-27 00:13:25.973000+00:00,2025-08-27 00:10:30.851000+00:00,2025-08-27 00:13:23.973000+00:00,180.122,173.122
542020041221088+20250827131944+Fiji-Nadi-LTE-DL-D!20250827121729,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-27 00:13:26.978000+00:00,2025-08-27 00:16:27.079000+00:00,2025-08-27 00:13:31.978000+00:00,2025-08-27 00:16:25.079000+00:00,180.101,173.101
542020041221088+20250827132124+Fiji-Nadi-LTE-DL-D!20250827121942,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 00:16:28.077000+00:00,2025-08-27 00:19:28.188000+00:00,2025-08-27 00:16:33.077000+00:00,2025-08-27 00:19:26.188000+00:00,180.111,173.111
542020041221088+20250827132444+Fiji-Nadi-LTE-DL-D!20250827122410,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 00:19:29.178000+00:00,2025-08-27 00:22:29.296000+00:00,2025-08-27 00:19:34.178000+00:00,2025-08-27 00:22:27.296000+00:00,180.118,173.118
542020041221088+20250827132625+Fiji-Nadi-LTE-DL-D!20250827122623,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 00:22:30.296000+00:00,2025-08-27 00:25:30.425000+00:00,2025-08-27 00:22:35.296000+00:00,2025-08-27 00:25:28.425000+00:00,180.129,173.129
542020041221088+20250827133105+Fiji-Nadi-LTE-DL-D!20250827124329,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 00:39:25.235000+00:00,2025-08-27 00:42:25.360000+00:00,2025-08-27 00:39:30.235000+00:00,2025-08-27 00:42:23.360000+00:00,180.125,173.125
542020041221088+20250827133125+Fiji-Nadi-LTE-DL-D!20250827124541,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 00:42:26.382000+00:00,2025-08-27 00:45:26.500000+00:00,2025-08-27 00:42:31.382000+00:00,2025-08-27 00:45:24.500000+00:00,180.118,173.118
542020041221088+20250827133206+Fiji-Nadi-LTE-DL-D!20250827125008,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 00:45:27.514000+00:00,2025-08-27 00:48:27.627000+00:00,2025-08-27 00:45:32.514000+00:00,2025-08-27 00:48:25.627000+00:00,180.113,173.113
542020041221088+20250827133406+Fiji-Nadi-LTE-DL-D!20250827125219,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-27 00:48:28.629000+00:00,2025-08-27 00:50:54.812000+00:00,2025-08-27 00:48:33.629000+00:00,2025-08-27 00:50:52.812000+00:00,146.183,139.183
