dataset,column,family,dtype,full_non_null_count,full_missing_count,full_missing_pct,sample_unique_count,sample_unique_pct,sample_non_null_examples,sample_min,sample_max,sample_mean,sample_std,sample_top_values
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_BLER,LTE,float64,452,32022,98.608,452,100.0,"['0.7909462541428705', '49.958856451140754', '-2.760927088816403', '1.838828120856221', '99.11181288354257']",-3.8517326718126434,102.58869962708593,12.002452611391229,28.10545445764149,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_LayerNum,LTE,float64,452,32022,98.608,452,100.0,"['1.0313502782479134', '1.0346094390553349', '0.9911403375788409', '0.9588847878772415', '2.0004079821519825']",0.9071119973886607,4.040065445224677,1.5122136433246491,0.6786208042717864,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_MCS_CW0,LTE,float64,452,32022,98.608,452,100.0,"['6.786301526223323', '9.761820920586228', '3.993126049047707', '1.4422879209535837', '15.232368216770327']",-0.11184298272266338,30.16689514904522,12.025550405889156,6.564968884589087,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_Modulation_CW0,LTE,object,452,32022,98.608,4,0.885,"['QPSK', '16QAM', 'QPSK', 'QPSK', '16QAM']",,,,,"{'16QAM': 216, '64QAM': 172, 'QPSK': 62, '256QAM': 2}"
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_QPSKUsage,LTE,float64,452,32022,98.608,452,100.0,"['98.65313617010402', '44.09314330607409', '98.92298176549896', '100.76312012229468', '-3.8484143600875944']",-4.425032427867134,105.90597461265683,40.24928756280574,37.14307043702864,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_ResourceBlockNum,LTE,float64,452,32022,98.608,452,100.0,"['93.96438476800402', '30.844525376970697', '76.9477384385832', '56.620323734822726', '45.39091137701467']",-1.9415771542054712,100.15956099719766,35.833135904264566,36.667502503943155,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_Throughput,LTE,float64,452,32022,98.608,452,100.0,"['-0.07411357208174968', '0.7110809042923117', '-0.25421110797966207', '-1.1400502493894447', '-0.6892740613116382']",-2.0923215705036524,70.05657241292347,8.642628981004965,14.986949429503134,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_ThroughputStream0,LTE,float64,452,32022,98.608,452,100.0,"['-0.3728899510939697', '-0.26567234484539615', '-0.11231008369201251', '0.1334570135508246', '0.458593007301332']",-1.0347239364377927,35.24926161492344,4.437161638140953,7.635987781436027,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_ThroughputStream1,LTE,float64,452,32022,98.608,452,100.0,"['0.9027139222843118', '0.20612526265025738', '-0.29164903980485274', '0.4322906518279368', '-0.1492078226199172']",-1.1833272278241624,34.89864707157057,4.129621523395299,7.350624113275958,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_ThroughputStreamAll,LTE,float64,452,32022,98.608,452,100.0,"['0.20218476457608642', '0.8971156201428417', '0.08081299396393979', '1.8061717154144867', '-0.1525032185955758']",-3.2183863119067238,70.83640998367034,8.603062273466229,14.921108978158008,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_Rank1Usage,LTE,float64,470,32004,98.553,470,100.0,"['98.9529988152397', '100.51809867868336', '100.41511966674004', '101.15369719810926', '100.74926119727834']",-4.316554153097764,104.40946737794262,56.72428240975118,42.226186772470626,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_Rank2Usage,LTE,float64,470,32004,98.553,470,100.0,"['2.475520128779181', '1.506111967863134', '-1.9713362446044151', '-1.0951512862314268', '2.4841404107325147']",-5.429197545100912,105.08120181815315,43.12145660999626,42.33757684903785,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_Rank3Usage,LTE,float64,470,32004,98.553,470,100.0,"['-0.007061441925034315', '0.0022398015435806133', '0.018920874074679336', '0.004144090591306731', '0.016206267292747607']",-0.07363476138846385,9.99824408128135,0.0213431662343722,0.46177052965436716,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_Rank4Usage,LTE,float64,470,32004,98.553,470,100.0,"['0.00020744532957548705', '0.007604863488128901', '-0.03560041289293369', '-0.009820612822454923', '0.007379251569253035']",-0.06781210375463233,10.001116622462662,0.021742731891369684,0.4618561179670034,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_CQI_CW1,LTE,float64,638,31836,98.035,638,100.0,"['13.865515907699356', '13.004073438662328', '13.955320352791052', '13.89811053351954', '5.825466983259495']",1.8920486308326252,15.45436687479253,9.521320928532615,2.8693538311889237,
