dataset,column,family,dtype,full_non_null_count,full_missing_count,full_missing_pct,sample_unique_count,sample_unique_pct,sample_non_null_examples,sample_min,sample_max,sample_mean,sample_std,sample_top_values,is_protected,remove_reason
drive_raw,Activity.Quality,Activity,float64,465,64484,99.284,345,74.194,"['-11.72', '-13.44', '-8.98', '-8.16', '-8.02']",-14.54,0.09,-9.621956989247312,2.4940243752523736,,True,
drive_raw,Activity.SINR,Activity,float64,465,64484,99.284,394,84.731,"['6.58', '5.56', '8.37', '12.42', '6.51']",-1.54,23.33,10.655376344086022,4.344359591098185,,True,
drive_raw,Activity.Size,Activity,float64,465,64484,99.284,432,92.903,"['1234.0', '511.0', '738.0', '906.0', '886.0']",1.0,3737886.0,412094.5440860215,607034.9063225836,,True,
drive_raw,Activity.Spurious Retransmission,Activity,float64,465,64484,99.284,1,0.215,"['0.0', '0.0', '0.0', '0.0', '0.0']",0.0,0.0,0.0,0.0,,True,
drive_raw,Activity.Start TimeStamp,Activity,object,465,64484,99.284,461,99.14,"['2025-08-25T02:13:41.754000+02:00', '2025-08-25T02:17:33.189000+02:00', '2025-08-25T02:19:38.479000+02:00', '2025-08-25T02:21:43.859000+02:00', '2025-08-25T02:23:47.011000+02:00']",,,,,"{'2025-08-28T02:31:34.855000+02:00': 2, '2025-08-27T05:39:59.040000+02:00': 2, '2025-08-28T00:24:21.832000+02:00': 2, '2025-08-27T03:21:06.909000+02:00': 2, '2025-08-27T01:07:02.526000+02:00': 1}",True,
drive_raw,Activity.Status,Activity,object,465,64484,99.284,2,0.43,"['Success', 'Success', 'Success', 'Success', 'Success']",,,,,"{'Success': 253, 'Failed': 212}",True,
drive_raw,Activity.TCP Window Update,Activity,float64,465,64484,99.284,1,0.215,"['0.0', '0.0', '0.0', '0.0', '0.0']",0.0,0.0,0.0,0.0,,True,
drive_raw,Activity.Tech,Activity,object,465,64484,99.284,8,1.72,"['HSPA+', 'HSPA+', 'HSPA+', 'HSPA+', 'HSPA+']",,,,,"{'HSPA+': 225, 'LTE CA2': 147, 'LTE CA1': 45, 'HSPA': 19, 'WCDMA': 16}",True,
drive_raw,Activity.Throughput,Activity,float64,465,64484,99.284,242,52.043,"['88.0', '32.0', '56.0', '64.0', '64.0']",0.0,166008.0,18744.275268817204,27015.37722891566,,True,
drive_raw,Activity.Throughput WIFI,Activity,float64,465,64484,99.284,36,7.742,"['0.0', '0.0', '0.0', '0.0', '0.0']",0.0,9120.0,130.0989247311828,768.5050415016764,,True,
drive_raw,Extra_KPIs.LTE Handover Interruption Time,Extra_KPIs,float64,2214,62735,96.591,2199,99.322,"['80.17600000000158', '53.76799999999804', '199.20700000000124', '37.02000000000183', '87.32499999999987']",0.1849999999947726,396.11200000000224,47.82127416440832,30.70995845144911,,True,
drive_raw,Extra_KPIs.UMTS Handover Interruption Time,Extra_KPIs,float64,3826,61123,94.109,2096,54.783,"['0.7120000000000459', '0.2110000000001832', '0.0470000000003523', '0.2050000000011209', '0.1970000000000027']",0.0089999999985934,612.5150000000001,19.792449555671755,68.08157763817758,,True,
drive_raw,LTE - Serving - R15_Support,LTE,float64,7221,57728,88.882,1,0.014,"['1.0', '1.0', '1.0', '1.0', '1.0']",1.0,1.0,1.0,0.0,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_EARFCN_UL,LTE,float64,9244,55705,85.767,5,0.054,"['40790.0', '40988.0', '40988.0', '40988.0', '40988.0']",40790.0,41384.0,41102.40804846387,190.4172397139175,,True,
drive_raw,Throughput.HTTP_DL,Throughput,float64,12601,52348,80.599,12549,99.587,"['21.400482', '23.648554', '29.184605', '28.727032', '8.382977']",0.0,307.56577,45.007150096382595,40.55158647901069,,True,
drive_raw,Throughput.Physical_DL,Throughput,float64,12601,52348,80.599,12581,99.841,"['25.064287', '25.773815', '33.119488', '33.36764', '10.383072']",0.0,347.70898,50.997622558191885,45.137634030416265,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_CQI_CW1,LTE,float64,15460,49489,76.197,15,0.097,"['14.0', '13.0', '14.0', '14.0', '7.0']",1.0,15.0,10.08201811125485,3.295522674218565,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_MCS_CW1,LTE,float64,18242,46707,71.913,32,0.175,"['11.0', '17.0', '21.0', '22.0', '25.0']",0.0,31.0,17.93717794101524,5.971736906625069,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_Modulation_CW1,LTE,object,18242,46707,71.913,4,0.022,"['16QAM', '64QAM', '64QAM', '64QAM', '64QAM']",,,,,"{'64QAM': 13338, '16QAM': 3325, 'QPSK': 1026, '256QAM': 553}",True,
drive_raw,Events.subject,Events,object,19604,45345,69.816,586,2.989,"['Fiji-Nadi-MO-D$$$$nan$$$$Start', 'End$$$$Start$$$$MT Available', 'nan$$$$nan$$$$nan$$$$nan$$$$nan', 'nan$$$$nan$$$$nan$$$$nan$$$$nan', 'nan$$$$nan$$$$nan$$$$nan$$$$nan']",,,,,"{'nan$$$$nan': 6013, 'nan$$$$nan$$$$nan': 3072, 'nan$$$$nan$$$$nan$$$$nan': 1631, 'Start': 1139, 'nan$$$$nan$$$$nan$$$$nan$$$$nan': 913}",True,
drive_raw,LTE - SecondaryCell 1 - SCell1_BandWidth_UL,LTE,float64,21217,43732,67.333,1,0.005,"['20.0', '20.0', '20.0', '20.0', '20.0']",20.0,20.0,20.0,0.0,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_RxAntNum,LTE,float64,21651,43298,66.665,3,0.014,"['2.0', '2.0', '4.0', '4.0', '4.0']",1.0,4.0,3.6449586624174404,0.7794057438419075,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_SpatialRank,LTE,float64,21651,43298,66.665,4,0.018,"['1.0', '1.0', '1.0', '1.0', '1.0']",1.0,4.0,1.7173802595723062,0.4635264869234389,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_TxAntNum,LTE,float64,21651,43298,66.665,2,0.009,"['2.0', '2.0', '2.0', '2.0', '2.0']",2.0,4.0,2.122026696226502,0.47872065210460146,,True,
drive_raw,Extra_KPIs.CSFB RAT,Extra_KPIs,object,21845,43104,66.366,2,0.009,"['WCDMA', 'WCDMA', 'WCDMA', 'WCDMA', 'WCDMA']",,,,,"{'WCDMA': 21757, 'GSM': 88}",False,
drive_raw,Events.description,Events,object,22142,42807,65.909,11055,49.928,"['{""name"":""Fiji-Nadi-MO-D"",""description"":""CSFB-90-10"",""steps"":[{""BM"":false,""id"":""0"",""Type"":""MO_Call"",""Number"":""+6797013801"",""MT_IMSI"":"""",""stepShape"":""rectangle"",""connectors"":[{""endItemKey"":0,""beginItemKey"":1},{""endItemKey"":2,""beginItemKey"":0},{""endItemKey"":0,""beginItemKey"":4}],""Duration"":90},{""id"":""1"",""Type"":""Lock_RAT"",""Lock RAT"":""AUTO"",""stepShape"":""rectangle"",""connectors"":[{""endItemKey"":0,""beginItemKey"":1}]},{""id"":""2"",""Type"":""Wait"",""stepShape"":""rectangle"",""connectors"":[{""endItemKey"":2,""beginItemKey"":0},{""endItemKey"":3,""beginItemKey"":2}],""Length"":10},{""id"":""3"",""Type"":""Save"",""stepShape"":""rectangle"",""connectors"":[{""endItemKey"":3,""beginItemKey"":2},{""endItemKey"":4,""beginItemKey"":3}]},{""id"":""4"",""Type"":""Loop"",""Steps"":[0,2,3],""Repeat"":1000,""stepShape"":""ellipse"",""connectors"":[{""endItemKey"":4,""beginItemKey"":3},{""endItemKey"":0,""beginItemKey"":4}]}],""autoTime"":0,""repeat"":1000,""uploadServer"":""POLQA"",""indoor"":false,""indoorMaster"":false,""sync"":false,""PCAP"":false,""deepLayer"":false,""imsisIds"":[""79a8c7aa-0759-45d4-a985-587496c8f1ba"",""ba71750e-61c4-4773-8e9d-33a7ef73e4ca"",""c659f421-120c-42a3-91a2-84b93e85ac96""],""indoorMasterImsi"":null,""first step"":1,""PCAP Length"":0}$$$$1$$$$AUTO', 'AUTO$$$$+6797013801$$$$', '$$$$$$$$$$$$$$$$', '$$$$$$$$CSFB$$$$$$$$', '$$$$$$$$$$$$$$$$']",,,,,"{'$$$$': 4602, '$$$$$$$$': 1967, '$$$$$$$$$$$$': 1013, 'https://syd.download.datapacket.com/10000mb.bin': 606, '$$$$$$$$$$$$$$$$': 472}",True,
drive_raw,LTE - SecondaryCell 1 - SCell1_MCS_CW0,LTE,float64,22469,42480,65.405,32,0.142,"['7.0', '10.0', '4.0', '15.0', '2.0']",0.0,31.0,17.71431750411678,5.906250871890738,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_Modulation_CW0,LTE,object,22469,42480,65.405,4,0.018,"['QPSK', '16QAM', 'QPSK', '16QAM', 'QPSK']",,,,,"{'64QAM': 16229, '16QAM': 4772, 'QPSK': 809, '256QAM': 659}",True,
drive_raw,LTE - SecondaryCell 1 - SCell1_1024QAMUsage,LTE,float64,22470,42479,65.404,1,0.004,"['0.0', '0.0', '0.0', '0.0', '0.0']",0.0,0.0,0.0,0.0,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_16QAMUsage,LTE,float64,22470,42479,65.404,15538,69.15,"['0.0', '47.916668', '0.0', '100.0', '0.0']",0.0,100.0,26.598798391716198,29.34999036795257,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_256QAMUsage,LTE,float64,22470,42479,65.404,808,3.596,"['0.0', '0.0', '0.0', '0.0', '0.0']",0.0,100.0,1.2987773491477526,8.587357048549553,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_64QAMUsage,LTE,float64,22470,42479,65.404,14202,63.204,"['0.0', '8.333333', '0.0', '0.0', '0.0']",0.0,100.0,57.81869872973182,39.20197583917184,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_BLER,LTE,float64,22470,42479,65.404,15650,69.648,"['0.0', '47.916668', '0.0', '100.0', '0.0']",0.0,100.0,7.2110988172124175,8.69021000065288,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_LayerNum,LTE,float64,22470,42479,65.404,4,0.018,"['1.0', '1.0', '1.0', '2.0', '1.0']",1.0,4.0,1.736270582999555,0.4597434918291555,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_QPSKUsage,LTE,float64,22470,42479,65.404,9490,42.234,"['100.0', '43.75', '100.0', '0.0', '100.0']",0.0,100.0,14.283725495494304,27.343577506392155,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_ResourceBlockNum,LTE,float64,22470,42479,65.404,100,0.445,"['92.0', '28.0', '77.0', '44.0', '56.0']",1.0,100.0,73.34962171784602,23.079454904196368,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_Throughput,LTE,float64,22470,42479,65.404,22359,99.506,"['0.011448', '0.244448', '0.014984', '0.020312', '0.002536']",1.6e-05,143.07137,27.57649156023185,23.840494216200906,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_ThroughputStream0,LTE,float64,22470,42479,65.404,22312,99.297,"['0.011448', '0.244448', '0.014984', '0.012576', '0.002536']",0.0,71.83878,15.740029949067267,12.567628104831204,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_ThroughputStream1,LTE,float64,22470,42479,65.404,18086,80.49,"['0.0', '0.0', '0.0', '0.0077359998', '0.0']",0.0,79.805145,11.836461621827446,12.73006766721158,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_ThroughputStreamAll,LTE,float64,22470,42479,65.404,22359,99.506,"['0.011448', '0.244448', '0.014984', '0.020312', '0.002536']",1.6e-05,143.07137,27.57649156023185,23.840494216200906,,True,
drive_raw,Extra_KPIs.Call RAT,Extra_KPIs,object,22648,42301,65.13,2,0.009,"['WCDMA', 'WCDMA', 'WCDMA', 'WCDMA', 'WCDMA']",,,,,"{'WCDMA': 19849, 'GSM': 2799}",False,
drive_raw,WCDMA - WCDMACellsTable(1) - EcNo,WCDMA,float64,22752,42197,64.969,2402,10.557,"['-16.720491', '-13.462736', '-15.234055', '-16.420881', '-12.876299']",-21.317337,-2.226213,-13.370925028045887,3.375178430204594,,False,
drive_raw,WCDMA - WCDMACellsTable(1) - EcNo Before RAKE,WCDMA,float64,22752,42197,64.969,2254,9.907,"['-19.556746', '-15.0191765', '-18.639164', '-19.472425', '-14.392736']",-29.223478,-2.7333074,-16.06452823194884,5.299977243849589,,False,
drive_raw,WCDMA - WCDMACellsTable(1) - PSC,WCDMA,float64,22752,42197,64.969,202,0.888,"['207.0', '207.0', '207.0', '207.0', '207.0']",0.0,511.0,215.82208157524613,116.71983103484497,,False,
drive_raw,WCDMA - WCDMACellsTable(1) - RSCP,WCDMA,float64,22752,42197,64.969,21303,93.631,"['-94.05675', '-87.31918', '-94.93916', '-92.572426', '-84.89274']",-116.923256,-43.767635,-80.06825101028481,9.326348341352421,,False,
drive_raw,WCDMA - WCDMACellsTable(1) - RSCP After RAKE,WCDMA,float64,22752,42197,64.969,21587,94.88,"['-91.22049', '-85.76274', '-91.53406', '-89.52088', '-83.3763']",-109.063286,-43.212086,-77.37464782559775,8.638320760797614,,False,
drive_raw,WCDMA - WCDMACellsTable(1) - Set_Type,WCDMA,object,22752,42197,64.969,4,0.018,"['M', 'M', 'A', 'M', 'M']",,,,,"{'A': 11792, 'M': 8916, 'D': 1815, 'AS': 229}",False,
drive_raw,WCDMA - WCDMACellsTable(1) - UARFCN,WCDMA,float64,22752,42197,64.969,2,0.009,"['3087.0', '3087.0', '3087.0', '3087.0', '3087.0']",3066.0,3087.0,3076.003428270042,10.488481854848777,,False,
drive_raw,WCDMA - DownlinkMeasurements - RSCP_Strongest_Neighbor_2nd,WCDMA,float64,23601,41348,63.662,14580,61.777,"['-89.41449', '-86.94161', '-86.94161', '-86.94161', '-86.94161']",-110.168106,-49.711086,-80.92706345625186,8.03296292281729,,False,
drive_raw,LTE - SecondaryCell 1 - SCell1_CQI,LTE,float64,23773,41176,63.397,15,0.063,"['13.0', '13.0', '13.0', '12.0', '11.0']",1.0,15.0,10.013544777688974,3.1536567677565284,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_CQI_CW0,LTE,float64,23773,41176,63.397,15,0.063,"['13.0', '13.0', '13.0', '12.0', '11.0']",1.0,15.0,10.346569637824423,3.189283629132473,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_TransMode,LTE,object,23970,40979,63.094,4,0.017,"['TM3-OL SM', 'TM3-OL SM', 'TM3-OL SM', 'TM3-OL SM', 'TM3-OL SM']",,,,,"{'TM4-CL SM': 16626, 'TM3-OL SM': 4249, 'TM7-SISO P7': 3015, 'TM7-SISO P5': 80}",True,
drive_raw,WCDMA - WCDMACellsTable(0) - EcNo,WCDMA,float64,24531,40418,62.23,4071,16.595,"['-11.705355', '-10.846578', '-11.554402', '-12.533611', '-10.950952']",-21.446957,-2.0112138,-9.975089670237658,3.6929723145459175,,False,
drive_raw,WCDMA - WCDMACellsTable(0) - EcNo Before RAKE,WCDMA,float64,24531,40418,62.23,3775,15.389,"['-13.140152', '-12.732422', '-12.559032', '-13.515377', '-12.474867']",-29.636805,-2.6189325,-11.409445240907424,4.83709345222059,,False,
drive_raw,WCDMA - WCDMACellsTable(0) - PSC,WCDMA,float64,24531,40418,62.23,151,0.616,"['321.0', '321.0', '321.0', '321.0', '321.0']",0.0,511.0,218.91463862052098,122.42696954562945,,False,
drive_raw,WCDMA - WCDMACellsTable(0) - RSCP,WCDMA,float64,24531,40418,62.23,23952,97.64,"['-88.54015', '-85.032425', '-88.85904', '-86.71538', '-82.97487']",-116.087006,-38.41385,-75.03125849105214,10.268225442480455,,False,
drive_raw,WCDMA - WCDMACellsTable(0) - RSCP After RAKE,WCDMA,float64,24531,40418,62.23,23987,97.782,"['-87.105354', '-83.14658', '-87.85441', '-85.73361', '-81.45095']",-110.41869,-38.114975,-73.5969028895683,9.586676597809197,,False,
drive_raw,WCDMA - WCDMACellsTable(0) - UARFCN,WCDMA,float64,24531,40418,62.23,2,0.008,"['3087.0', '3087.0', '3087.0', '3087.0', '3087.0']",3066.0,3087.0,3076.018466430231,10.489166337943988,,False,
drive_raw,LTE - NeighborCells(3) - Band,LTE,float64,24634,40315,62.072,4,0.016,"['1.0', '1.0', '3.0', '1.0', '1.0']",1.0,41.0,26.44734919217342,18.015406574007045,,False,
drive_raw,LTE - NeighborCells(3) - EARFCN,LTE,float64,24634,40315,62.072,8,0.032,"['356.0', '356.0', '1850.0', '356.0', '356.0']",356.0,41384.0,24507.372168547536,19072.041341212407,,False,
drive_raw,LTE - NeighborCells(3) - Mod3,LTE,float64,24634,40315,62.072,3,0.012,"['1.0', '1.0', '1.0', '1.0', '2.0']",0.0,2.0,1.040959649265243,0.8046689082331809,,False,
drive_raw,LTE - NeighborCells(3) - PCI,LTE,float64,24634,40315,62.072,314,1.275,"['151.0', '151.0', '139.0', '151.0', '140.0']",0.0,502.0,243.12222943898678,119.27444134645738,,False,
drive_raw,LTE - NeighborCells(3) - RSRP,LTE,float64,24634,40315,62.072,12684,51.49,"['-115.4375', '-111.453125', '-103.4625', '-106.40625', '-107.8125']",-132.9375,-61.1875,-104.49141506048554,9.535370927423727,,False,
drive_raw,LTE - NeighborCells(3) - RSRQ,LTE,float64,24634,40315,62.072,6963,28.266,"['-17.375', '-20.421875', '-19.51875', '-19.09375', '-18.8125']",-29.4375,-5.84375,-18.0207915719534,2.667311680938553,,False,
drive_raw,WCDMA - Serving - RAI,WCDMA,float64,24751,40198,61.892,3,0.012,"['3.0', '3.0', '3.0', '3.0', '3.0']",2.0,255.0,2.776857500707042,4.5586573602698355,,False,
drive_raw,LTE - SecondaryCell 1 Radio - SCell1_RSRQ,LTE,float64,24776,40173,61.853,21279,85.886,"['-7.418269', '-7.625', '-7.214939', '-6.734375', '-8.034274']",-29.9375,-4.921875,-11.006989726929287,2.9042748629037236,,True,
drive_raw,WCDMA - Serving - LAC,WCDMA,float64,24778,40171,61.85,2,0.008,"['5.0', '5.0', '5.0', '5.0', '5.0']",1.0,5.0,4.972879167002986,0.32825621259569765,,False,
drive_raw,LTE - SecondaryCell 1 Radio - SCell1_RSRP,LTE,float64,24783,40166,61.842,23168,93.483,"['-83.20032', '-84.234375', '-81.23933', '-81.93229', '-84.91936']",-139.58333,-50.24055,-94.40231636872049,10.533009184454691,,True,
drive_raw,LTE - SecondaryCell 1 Radio - SCell1_RSSI,LTE,float64,24783,40166,61.842,23128,93.322,"['-55.472755', '-55.703125', '-53.624237', '-54.916668', '-56.65121']",-95.74062,-21.861193,-62.820436959690106,9.717298033452881,,True,
drive_raw,LTE - SecondaryCell 1 Radio - SCell1_SINR,LTE,float64,24783,40166,61.842,23443,94.593,"['18.264103', '17.925', '18.85244', '18.391666', '12.4']",-11.9,30.0,11.594814807215672,7.459304982331995,,True,
drive_raw,LTE - SecondaryCell 1 Radio - SCell1_Frame_Timing_0,LTE,float64,24801,40148,61.815,2734,11.024,"['183137.0', '183138.0', '183139.0', '183139.0', '183137.0']",5935.0,305981.0,157025.564654651,90914.41324219659,,True,
drive_raw,LTE - SecondaryCell 1 Radio - SCell1_Frame_Timing_1,LTE,float64,24801,40148,61.815,2734,11.024,"['183137.0', '183138.0', '183139.0', '183139.0', '183137.0']",5935.0,305981.0,157025.564654651,90914.41324219659,,True,
drive_raw,WCDMA - DownlinkMeasurements - RSCP_Strongest_Neighbor_1st,WCDMA,float64,24853,40096,61.735,20107,80.904,"['-91.22049', '-85.76274', '-94.87078', '-89.52088', '-83.3763']",-110.31886,-46.213326,-78.63278897517402,8.257575219762177,,False,
drive_raw,WCDMA - UplinkMeasurements - RACHAICHStatus,WCDMA,object,24931,40018,61.614,2,0.008,"['Positive ACK', 'Positive ACK', 'Positive ACK', 'Positive ACK', 'Positive ACK']",,,,,"{'Positive ACK': 24876, 'Negative ACK': 55}",False,
