id,timestamp,id_route_test_label,id_test_type,Activity.Remote IPs,Activity.Source Ports,Activity.TTFB,Activity.DNS Resolution Time,Activity.Remote Address,Activity.Sub Activity,Activity.Error,Activity.Band,Activity.LCI,Activity.ARFCN,Activity.Private IP,Activity.Activity,Activity.Connection Reset,Activity.Duplicated ACK,Activity.Duration,Activity.End TimeStamp,Activity.Fast Retransmission,Activity.Out of Order,Activity.Packet Loss Rate,Activity.Power,Activity.Public IP,Activity.Quality,Activity.SINR,Activity.Size,Activity.Spurious Retransmission,Activity.Start TimeStamp,Activity.Status,Activity.TCP Window Update,Activity.Tech,Activity.Throughput,Activity.Throughput WIFI,Activity.Start TimeStamp_parsed,Activity.End TimeStamp_parsed
542020041221088+20250825134745+Fiji-Nadi-MO-D!20250825125840,2025-08-25 02:58:29+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,81.0,3066.0,10.39.106.51,MO Call,0.0,0.0,105082.0,2025-08-25T02:58:29.644000+02:00,0.0,0.0,0.0,-78.14,82.132.213.136,-9.74,12.88,15461.0,0.0,2025-08-25T02:56:44.563000+02:00,Success,0.0,HSPA+,1176.0,1248.0,2025-08-25 02:56:44.563000+02:00,2025-08-25 02:58:29.644000+02:00
542020041221088+20250825141210+Fiji-Nadi-MO-D!20250825130045,2025-08-25 03:00:34+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,510.0,3087.0,10.29.111.10,MO Call,0.0,0.0,104113.0,2025-08-25T03:00:34.101000+02:00,0.0,0.0,0.0,-71.2,82.132.222.102,-7.74,7.11,884.0,0.0,2025-08-25T02:58:49.988000+02:00,Success,0.0,HSPA,64.0,0.0,2025-08-25 02:58:49.988000+02:00,2025-08-25 03:00:34.101000+02:00
542020041221088+20250825141230+Fiji-Nadi-MO-D!20250825130248,2025-08-25 03:02:37+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,16.0,3066.0,,MO Call,0.0,0.0,103080.0,2025-08-25T03:02:37.415000+02:00,0.0,0.0,0.0,-79.62,No Network Available,-11.99,9.13,667.0,0.0,2025-08-25T03:00:54.335000+02:00,Success,0.0,HSPA+,48.0,0.0,2025-08-25 03:00:54.335000+02:00,2025-08-25 03:02:37.415000+02:00
542020041221088+20250825142052+Fiji-Nadi-MO-D!20250825130450,2025-08-25 03:04:39+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,20.0,3087.0,10.39.121.170,MO Call,0.0,0.0,100165.0,2025-08-25T03:04:39.112000+02:00,0.0,0.0,0.0,-79.36,82.132.238.43,-9.49,9.72,433.0,0.0,2025-08-25T03:02:58.947000+02:00,Success,0.0,WCDMA,32.0,0.0,2025-08-25 03:02:58.947000+02:00,2025-08-25 03:04:39.112000+02:00
542020041221088+20250825143236+Fiji-Nadi-MO-D!20250825130652,2025-08-25 03:06:41+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,20.0,3087.0,10.49.130.241,MO Call,0.0,0.0,102146.0,2025-08-25T03:06:41.543000+02:00,0.0,0.0,0.0,-58.05,156.160.92.189,-6.7,15.33,1092.0,0.0,2025-08-25T03:04:59.398000+02:00,Success,0.0,HSPA+,80.0,0.0,2025-08-25 03:04:59.398000+02:00,2025-08-25 03:06:41.543000+02:00
542020041221088+20250825143256+Fiji-Nadi-MO-D!20250825130855,2025-08-25 03:08:44+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,12.0,3066.0,10.39.131.135,MO Call,0.0,0.0,103135.0,2025-08-25T03:08:44.727000+02:00,0.0,0.0,0.0,-58.2,No Network Available,-7.67,14.69,1166.0,0.0,2025-08-25T03:07:01.592000+02:00,Success,0.0,HSPA+,88.0,0.0,2025-08-25 03:07:01.592000+02:00,2025-08-25 03:08:44.727000+02:00
542020041221088+20250825143316+Fiji-Nadi-MO-D!20250825131106,2025-08-25 03:10:55+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,292.0,3066.0,10.29.137.223,MO Call,0.0,0.0,110167.0,2025-08-25T03:10:55.091000+02:00,0.0,0.0,0.0,-75.2,102.62.208.225,-12.15,7.92,960.0,0.0,2025-08-25T03:09:04.924000+02:00,Success,0.0,HSPA+,64.0,0.0,2025-08-25 03:09:04.924000+02:00,2025-08-25 03:10:55.091000+02:00
542020041221088+20250825143738+Fiji-Nadi-MO-D!20250825131311,2025-08-25 03:13:00+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,300.0,3087.0,10.59.56.9,MO Call,0.0,0.0,105178.0,2025-08-25T03:13:00.419000+02:00,0.0,0.0,0.0,-72.9,82.132.228.223,-11.94,9.26,943.0,0.0,2025-08-25T03:11:15.242000+02:00,Success,0.0,HSPA+,64.0,0.0,2025-08-25 03:11:15.242000+02:00,2025-08-25 03:13:00.419000+02:00
542020041221088+20250825144621+Fiji-Nadi-MO-D!20250825131517,2025-08-25 03:15:06+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,200.0,3066.0,10.59.60.175,MO Call,0.0,0.0,106192.0,2025-08-25T03:15:06.933000+02:00,0.0,0.0,0.0,-77.25,82.132.236.54,-10.47,12.65,864.0,0.0,2025-08-25T03:13:20.742000+02:00,Success,0.0,HSPA+,64.0,0.0,2025-08-25 03:13:20.742000+02:00,2025-08-25 03:15:06.933000+02:00
542020041221088+20250825145224+Fiji-Nadi-MO-D!20250825131722,2025-08-25 03:17:11+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,123.0,3066.0,10.39.154.243,MO Call,0.0,0.0,104160.0,2025-08-25T03:17:11.349000+02:00,0.0,0.0,0.0,-67.12,No Network Available,-6.04,10.62,861.0,0.0,2025-08-25T03:15:27.189000+02:00,Success,0.0,HSPA+,64.0,0.0,2025-08-25 03:15:27.189000+02:00,2025-08-25 03:17:11.349000+02:00
